property,prefix,Context,Question,Correct Answer,negative_sample_type,yes_logprob,no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-4.903696060180664,-10.374738693237305,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-1.0054683685302734,-9.311833381652832,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-6.1863298416137695,-3.874769449234009,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-2.9020423889160156,-4.906075954437256,Yes,False
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-7.092381954193115,-0.597210168838501,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-2.1553096771240234,-4.905832767486572,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-2.9510397911071777,-0.5817477107048035,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-4.811467170715332,-1.4373204708099365,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,-1.8982292413711548,-1.2734055519104004,No,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-3.79591965675354,-2.2341177463531494,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-1.7237356901168823,-0.9802426099777222,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,-7.718332767486572,-0.3358880281448364,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-0.4231702983379364,-10.999820709228516,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-0.28983399271965027,-9.186833381652832,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-0.506704568862915,-10.562283515930176,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-1.3352961540222168,-7.593596458435059,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-6.967970371246338,-2.6560401916503906,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-1.3818939924240112,-6.812238693237305,Yes,False
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-0.3171064257621765,-11.812143325805664,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-1.0152390003204346,-5.406193733215332,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-0.24701613187789917,-11.06235122680664,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-0.9963999390602112,-5.311173915863037,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-4.9367899894714355,-3.0779738426208496,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-4.468179702758789,-3.8591747283935547,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-2.420858144760132,-3.2966480255126953,Yes,False
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-2.5746893882751465,-11.685900688171387,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-0.8931362628936768,-8.687095642089844,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-4.279881954193115,-2.531026601791382,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-0.268706738948822,-9.124446868896484,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,-1.4836310148239136,-7.624769687652588,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,-0.8735886216163635,-10.749664306640625,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,-1.799808144569397,-4.999541759490967,Yes,False
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-3.1238298416137695,-2.374511957168579,No,True
