property,prefix,Context,Question,Correct Answer,negative_sample_type,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-1.312341570854187,-0.31628239154815674,-9.223699569702148,-6.845249652862549,7.911357998847961,6.528967261314392,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-0.31628239154815674,-1.320152759552002,-9.223699569702148,-6.845249652862549,8.907417178153992,5.525096893310547,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-4.28112268447876,-0.01774609461426735,-9.223699569702148,-6.845249652862549,4.942576885223389,6.8275035582482815,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-5.999738693237305,-0.00411487091332674,-9.223699569702148,-6.845249652862549,3.2239608764648438,6.841134781949222,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-4.499796390533447,-0.012753374874591827,-9.223699569702148,-6.845249652862549,4.723903179168701,6.832496277987957,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-2.812403917312622,-0.06584286689758301,-9.223699569702148,-6.845249652862549,6.411295652389526,6.779406785964966,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-1.5151876211166382,-0.26323530077934265,-9.223699569702148,-6.845249652862549,7.70851194858551,6.582014352083206,Yes,True
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-1.3202667236328125,-0.32028472423553467,-9.223699569702148,-6.845249652862549,7.903432846069336,6.524964928627014,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,-1.507652759552002,-0.25760748982429504,-9.223699569702148,-6.845249652862549,7.7160468101501465,6.587642163038254,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-2.5936226844787598,-0.08634912967681885,-9.223699569702148,-6.845249652862549,6.630076885223389,6.75890052318573,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-2.5780274868011475,-0.0814666748046875,-9.223699569702148,-6.845249652862549,6.645672082901001,6.763782978057861,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,-5.499876499176025,-0.004989744164049625,-9.223699569702148,-6.845249652862549,3.723823070526123,6.840259908698499,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-0.13275372982025146,-2.124925136566162,-9.223699569702148,-6.845249652862549,9.090945839881897,4.720324516296387,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-1.7420921325683594,-0.24504268169403076,-9.223699569702148,-6.845249652862549,7.481607437133789,6.600206971168518,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-0.316331148147583,-1.3202370405197144,-9.223699569702148,-6.845249652862549,8.907368421554565,5.5250126123428345,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-2.5780274868011475,-0.08293139934539795,-9.223699569702148,-6.845249652862549,6.645672082901001,6.762318253517151,No,True
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-2.812403917312622,-0.06537127494812012,-9.223699569702148,-6.845249652862549,6.411295652389526,6.779878377914429,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-3.2966747283935547,-0.04696310684084892,-9.223699569702148,-6.845249652862549,5.927024841308594,6.7982865460217,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-2.5935866832733154,-0.08727587014436722,-9.223699569702148,-6.845249652862549,6.630112886428833,6.757973782718182,No,True
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-0.8358608484268188,-0.5858777761459351,-9.223699569702148,-6.845249652862549,8.38783872127533,6.259371876716614,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-0.3163607120513916,-1.3202667236328125,-9.223699569702148,-6.845249652862549,8.907338857650757,5.524982929229736,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-2.3592803478240967,-0.10488630086183548,-9.223699569702148,-6.845249652862549,6.864419221878052,6.740363352000713,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-4.2809038162231445,-0.01932384818792343,-9.223699569702148,-6.845249652862549,4.942795753479004,6.825925804674625,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-3.531052827835083,-0.033842090517282486,-9.223699569702148,-6.845249652862549,5.692646741867065,6.811407562345266,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-3.0467190742492676,-0.052883271127939224,-9.223699569702148,-6.845249652862549,6.176980495452881,6.79236638173461,No,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-0.4862833023071289,-0.9882463216781616,-9.223699569702148,-6.845249652862549,8.73741626739502,5.857003331184387,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-0.8358608484268188,-0.5858777761459351,-9.223699569702148,-6.845249652862549,8.38783872127533,6.259371876716614,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-1.5076881647109985,-0.2577155828475952,-9.223699569702148,-6.845249652862549,7.71601140499115,6.587534070014954,Yes,False
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-1.9139894247055054,-0.16299211978912354,-9.223699569702148,-6.845249652862549,7.309710144996643,6.682257533073425,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,-0.5819717645645142,-0.8319952487945557,-9.223699569702148,-6.845249652862549,8.641727805137634,6.013254404067993,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,-0.20407354831695557,-1.7030969858169556,-9.223699569702148,-6.845249652862549,9.019626021385193,5.142152667045593,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,-2.124941825866699,-0.1278841495513916,-9.223699569702148,-6.845249652862549,7.098757743835449,6.717365503311157,Yes,False
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-1.515527367591858,-0.26164305210113525,-9.223699569702148,-6.845249652862549,7.7081722021102905,6.583606600761414,Yes,False
