Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,quantitative-properties,,antonym,1.0,There are fewer keychains than staplers.,Are there more staplers than keychains?,Yes,0,-6.967293739318848,-11.186400413513184,-7.026721853348944,-11.126972299483088,0.05942811403009607,Yes,True
2.0,1.0,quantitative-properties,,antonym,1.0,There are fewer keychains than staplers.,Are there fewer staplers than keychains?,No,0,-8.372946739196777,-5.904600143432617,-8.432374853226873,-5.845172029402521,0.05942811403009607,No,True
3.0,1.0,quantitative-properties,,antonym,2.0,There are more keychains than staplers.,Are there more staplers than keychains?,No,0,-7.249446868896484,-4.311832904815674,-7.30887498292658,-4.252404790785578,0.05942811403009607,No,True
4.0,1.0,quantitative-properties,,antonym,2.0,There are more keychains than staplers.,Are there fewer staplers than keychains?,Yes,0,-6.343061923980713,-10.37451171875,-6.402490038010809,-10.315083604719904,0.05942811403009607,Yes,True
5.0,2.0,quantitative-properties,,antonym,1.0,There are many staplers relative to keychains.,Are there more staplers than keychains?,Yes,0,-4.3738298416137695,-9.124290466308594,-4.433257955643866,-9.064862352278498,0.05942811403009607,Yes,True
6.0,2.0,quantitative-properties,,antonym,1.0,There are many staplers relative to keychains.,Are there fewer staplers than keychains?,No,0,-6.12201452255249,-4.966350555419922,-6.181442636582586,-4.906922441389826,0.05942811403009607,No,True
7.0,2.0,quantitative-properties,,antonym,2.0,There are few staplers relative to keychains.,Are there more staplers than keychains?,No,0,-8.060900688171387,-3.780470371246338,-8.120328802201483,-3.721042257216242,0.05942811403009607,No,True
8.0,2.0,quantitative-properties,,antonym,2.0,There are few staplers relative to keychains.,Are there fewer staplers than keychains?,Yes,0,-4.997673988342285,-8.311174392700195,-5.057102102372381,-8.2517462786701,0.05942811403009607,Yes,True
12.0,2.0,quantitative-properties,,variable swap,2.0,There are many keychains relative to staplers.,Are there fewer staplers than keychains?,Yes,0,-5.1229472160339355,-3.310314893722534,-5.182375330064032,-3.250886779692438,0.05942811403009607,No,False
13.0,2.0,quantitative-properties,,variable swap,1.0,There are few keychains relative to staplers.,Are there more staplers than keychains?,Yes,0,-4.062041759490967,-7.968496799468994,-4.121469873521063,-7.909068685438898,0.05942811403009607,Yes,True
14.0,2.0,quantitative-properties,,variable swap,1.0,There are few keychains relative to staplers.,Are there fewer staplers than keychains?,No,0,-4.995921611785889,-3.5288503170013428,-5.055349725815985,-3.4694222029712467,0.05942811403009607,No,True
17.0,3.0,quantitative-properties,,antonym,1.0,Staplers are added to the truck that initially contained the same number of staplers and keychains.,Are there more staplers than keychains?,Yes,0,-8.12092113494873,-8.68342113494873,-8.180349248978827,-8.623993020918634,0.05942811403009607,Yes,True
19.0,3.0,quantitative-properties,,antonym,2.0,Staplers are removed from the truck that initially contained the same number of staplers and keychains.,Are there more staplers than keychains?,No,0,-8.973699569702148,-9.103147506713867,-9.033127683732245,-9.043719392683771,0.05942811403009607,Yes,False
20.0,3.0,quantitative-properties,,antonym,2.0,Staplers are removed from the truck that initially contained the same number of staplers and keychains.,Are there fewer staplers than keychains?,Yes,0,-10.153854370117188,-10.159526824951172,-10.213282484147284,-10.100098710921076,0.05942811403009607,No,False
21.0,4.0,quantitative-properties,,antonym,1.0,Yan has two fewer staplers compared to Chao.,Does Chao have more staplers than Yan?,Yes,0,-5.2184247970581055,-9.624859809875488,-5.2778529110882015,-9.565431695845392,0.05942811403009607,Yes,True
22.0,4.0,quantitative-properties,,antonym,1.0,Yan has two fewer staplers compared to Chao.,Does Chao have fewer staplers than Yan?,No,0,-6.155980587005615,-8.99989128112793,-6.215408701035711,-8.940463167097834,0.05942811403009607,Yes,False
23.0,4.0,quantitative-properties,,antonym,2.0,Yan has two additional staplers compared to Chao.,Does Chao have more staplers than Yan?,No,0,-9.187254905700684,-4.21862268447876,-9.24668301973078,-4.159194570448664,0.05942811403009607,No,True
24.0,4.0,quantitative-properties,,antonym,2.0,Yan has two additional staplers compared to Chao.,Does Chao have fewer staplers than Yan?,Yes,0,-6.343553066253662,-9.624934196472168,-6.402981180283758,-9.565506082442072,0.05942811403009607,Yes,True
