Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,quantitative-properties,,antonym,1.0,There are fewer keychains than staplers.,Are there more staplers than keychains?,Yes,0,-4.341350555419922,-5.591350555419922,-4.462280968273127,-5.4704201425667165,0.12093041285320583,Yes,True
2.0,1.0,quantitative-properties,,antonym,1.0,There are fewer keychains than staplers.,Are there fewer staplers than keychains?,No,0,-4.934695243835449,-4.9348649978637695,-5.055625656688655,-4.813934585010564,0.12093041285320583,No,True
3.0,1.0,quantitative-properties,,antonym,2.0,There are more keychains than staplers.,Are there more staplers than keychains?,No,0,-4.560315132141113,-4.528995513916016,-4.681245544994319,-4.40806510106281,0.12093041285320583,No,True
4.0,1.0,quantitative-properties,,antonym,2.0,There are more keychains than staplers.,Are there fewer staplers than keychains?,Yes,0,-4.467381954193115,-6.936254501342773,-4.588312367046321,-6.815324088489568,0.12093041285320583,Yes,True
5.0,2.0,quantitative-properties,,antonym,1.0,There are many staplers relative to keychains.,Are there more staplers than keychains?,Yes,0,-3.3723649978637695,-4.997524261474609,-3.4932954107169754,-4.876593848621404,0.12093041285320583,Yes,True
6.0,2.0,quantitative-properties,,antonym,1.0,There are many staplers relative to keychains.,Are there fewer staplers than keychains?,No,0,-3.6209216117858887,-4.277535915374756,-3.7418520246390945,-4.1566055025215505,0.12093041285320583,Yes,False
7.0,2.0,quantitative-properties,,antonym,2.0,There are few staplers relative to keychains.,Are there more staplers than keychains?,No,0,-4.615243911743164,-4.336822032928467,-4.7361743245963694,-4.215891620075261,0.12093041285320583,No,True
8.0,2.0,quantitative-properties,,antonym,2.0,There are few staplers relative to keychains.,Are there fewer staplers than keychains?,Yes,0,-3.945399522781372,-4.775503158569336,-4.0663299356345775,-4.6545727457161306,0.12093041285320583,Yes,True
12.0,2.0,quantitative-properties,,variable swap,2.0,There are many keychains relative to staplers.,Are there fewer staplers than keychains?,Yes,0,-3.9038503170013428,-4.435315132141113,-4.024780729854548,-4.314384719287908,0.12093041285320583,Yes,True
13.0,2.0,quantitative-properties,,variable swap,1.0,There are few keychains relative to staplers.,Are there more staplers than keychains?,Yes,0,-3.481780767440796,-6.216760158538818,-3.6027111802940017,-6.095829745685613,0.12093041285320583,Yes,True
14.0,2.0,quantitative-properties,,variable swap,1.0,There are few keychains relative to staplers.,Are there fewer staplers than keychains?,No,0,-3.8208658695220947,-3.7913906574249268,-3.9417962823753006,-3.670460244571721,0.12093041285320583,No,True
17.0,3.0,quantitative-properties,,antonym,1.0,Staplers are added to the truck that initially contained the same number of staplers and keychains.,Are there more staplers than keychains?,Yes,0,-5.279131889343262,-6.7479472160339355,-5.400062302196467,-6.62701680318073,0.12093041285320583,Yes,True
19.0,3.0,quantitative-properties,,antonym,2.0,Staplers are removed from the truck that initially contained the same number of staplers and keychains.,Are there more staplers than keychains?,No,0,-6.5277605056762695,-7.528850555419922,-6.648690918529475,-7.4079201425667165,0.12093041285320583,Yes,False
20.0,3.0,quantitative-properties,,antonym,2.0,Staplers are removed from the truck that initially contained the same number of staplers and keychains.,Are there fewer staplers than keychains?,Yes,0,-6.777296543121338,-7.68451452255249,-6.898226955974543,-7.563584109699285,0.12093041285320583,Yes,True
21.0,4.0,quantitative-properties,,antonym,1.0,Yan has two fewer staplers compared to Chao.,Does Chao have more staplers than Yan?,Yes,0,-4.936832904815674,-7.343358039855957,-5.057763317668879,-7.222427627002752,0.12093041285320583,Yes,True
22.0,4.0,quantitative-properties,,antonym,1.0,Yan has two fewer staplers compared to Chao.,Does Chao have fewer staplers than Yan?,No,0,-5.155603408813477,-7.155881404876709,-5.276533821666682,-7.034950992023504,0.12093041285320583,Yes,False
23.0,4.0,quantitative-properties,,antonym,2.0,Yan has two additional staplers compared to Chao.,Does Chao have more staplers than Yan?,No,0,-6.499143600463867,-4.874512195587158,-6.620074013317073,-4.753581782733953,0.12093041285320583,No,True
24.0,4.0,quantitative-properties,,antonym,2.0,Yan has two additional staplers compared to Chao.,Does Chao have fewer staplers than Yan?,Yes,0,-5.155679702758789,-7.71844482421875,-5.2766101156119944,-7.597514411365545,0.12093041285320583,Yes,True
