question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Which of the following is used in SCR to protect from high dV / dt?,(A) Snubber circuit.,(B) Fuse.,(C) Equalizing circuit.,(D) Circuit breaker.,A,A,True,20.0,0,-3.789961814880371,-10.536060333251953,-12.18936538696289,-11.098786354064941,3.573027652998765,-1.6521920909484233,-1.821339850624403,-2.155970635513464,-7.362989467879136,-8.88386824230353,-10.368025536338488,-8.942815718551477,A,A,True,True
Speed control by variation of field flux results in,(A) constant power drive.,(B) constant torque drive.,(C) variable power drive.,(D) none of the above.,A,A,True,20.0,0,-7.905148983001709,-8.598560333251953,-12.373071670532227,-11.88379955291748,-0.5421595151225729,0.28530790905157666,-2.005046134193739,-2.940983834366003,-7.362989467879136,-8.88386824230353,-10.368025536338488,-8.942815718551477,A,B,True,False
A long wire composed of a smooth round conductor runs above and parallel to the ground (assumed to be a large conducting plane). A high voltage exists between the conductor and the ground. The maximum electric stress occurs at,(A) lower surface of the conductor.,(B) upper surface of the conductor.,(C) the ground surface.,(D) midway between the conductor and ground.,A,B,False,20.0,0,-6.906372547149658,-5.271771430969238,-11.75879955291748,-8.747200965881348,0.4566169207294779,3.6120968113342915,-1.3907740165789928,0.19561475267012973,-7.362989467879136,-8.88386824230353,-10.368025536338488,-8.942815718551477,B,B,False,False
The main advantage of dielectric heating is that,(A) heating occurs in the material itself.,(B) heating occurs due to high frequency.,(C) it can be used for drying the explosives.,(D) None of the above.,A,A,True,20.0,0,-5.8921966552734375,-10.847026824951172,-13.544824600219727,-11.843087196350098,1.4707928126056986,-1.963158582647642,-3.176799063881239,-2.9002714777986203,-7.362989467879136,-8.88386824230353,-10.368025536338488,-8.942815718551477,A,A,True,True
"A sinusoidal signal is analog signal, because",(A) it can have a number of values between the negative and positive peaks,(B) it is negative for one half cycle,(C) it is positive for one half cycle,(D) it has positive as well as negative values,A,A,True,20.0,0,-5.625591278076172,-11.178885459899902,-12.848699569702148,-12.924062728881836,1.7373981898029642,-2.2950172175963726,-2.4806740333636608,-3.9812470103303585,-7.362989467879136,-8.88386824230353,-10.368025536338488,-8.942815718551477,A,A,True,True
Thin laminations are used in a machine in order to reduce,(A) Eddy current losses,(B) Hysteresis losses,(C) Both A and B,(D) Copper losses,A,C,False,20.0,0,-7.740521430969238,-8.593087196350098,-4.520540237426758,-11.181852340698242,-0.3775319630901022,0.2907810459534321,5.84748529891173,-2.239036622146765,-7.362989467879136,-8.88386824230353,-10.368025536338488,-8.942815718551477,C,C,False,False
What is used to protect the SCR from over current ?,(A) CB and fuse.,(B) Heat sink.,(C) Snubber circuit.,(D) Voltage clamping device.,A,A,True,20.0,0,-4.519466876983643,-9.216354370117188,-4.976367950439453,-8.623071670532227,2.8435225908954935,-0.3324861278136577,5.3916575858990345,0.3197440480192508,-7.362989467879136,-8.88386824230353,-10.368025536338488,-8.942815718551477,A,C,True,False
"In balanced bridge, if the positions of detector and source are interchanged, the bridge will still remain balanced. This can be explained from which theorem",(A) Reciprocity theorem,(B) Thevinin's theorem,(C) Norton's theorem,(D) Compensation theorem,A,A,True,20.0,0,-6.332000732421875,-10.811088562011719,-13.27672290802002,-13.784526824951172,1.030988735457261,-1.927220319708189,-2.908697371681532,-4.8417111063996945,-7.362989467879136,-8.88386824230353,-10.368025536338488,-8.942815718551477,A,A,True,True
Which of the following windings are necessary in case of all dc machines?,(A) closed winding,(B) lap winding,(C) wave winding,(D) open type winding,A,D,False,20.0,1,-4.791958332061768,-10.054901123046875,-10.974390029907227,-4.124480724334717,2.5442378136018915,-1.0861724962790813,-0.9070486451188717,5.10483347872893,-7.336196145663659,-8.968728626767794,-10.067341384788355,-9.229314203063646,D,D,False,False
The smallest change in measured variable to which instrument will respond is,(A) resolution.,(B) accuracy.,(C) precision.,(D) sensitivity.,A,D,False,20.0,1,-7.074954986572266,-12.58922290802002,-14.337615013122559,-4.340856075286865,0.26124115909139345,-3.620494281252226,-4.270273628334204,4.888458127776781,-7.336196145663659,-8.968728626767794,-10.067341384788355,-9.229314203063646,D,D,False,False
