task,QID,AnsRefIDs,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the hallway?,Yes,20.0,0,-1.9105271100997925,-6.735836505889893,1.0024071221550304,-2.9921123838673034,-2.912934232254823,-3.743724122022589,Yes,True,True,True
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the bathroom?,No,20.0,0,-3.833040237426758,-1.3378214836120605,-0.920106005171935,2.4059026384105286,-2.912934232254823,-3.743724122022589,No,True,False,True
qa1,6,[1],John travelled to the kitchen.,Is John in the kitchen?,Yes,20.0,3,-1.6566208600997925,-4.22202730178833,1.2606807213276623,-0.47448781859129685,-2.9173015814274548,-3.7475394831970332,Yes,True,True,True
qa1,6,[1],John travelled to the kitchen.,Is John in the hallway?,No,20.0,2,-3.310314893722534,-2.9362542629241943,-0.40888130453725635,0.8165471934402984,-2.901433589185278,-3.7528014563644927,No,True,False,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the kitchen?,Yes,20.0,4,-2.0733585357666016,-6.076412677764893,0.847452093536655,-2.3312714707727236,-2.9208106293032565,-3.745141206992169,Yes,True,True,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the garden?,No,20.0,4,-3.1538543701171875,-2.1538543701171875,-0.23304374081393098,1.5912868368749815,-2.9208106293032565,-3.745141206992169,No,True,False,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bathroom?,Yes,20.0,0,-1.7669366598129272,-5.079290390014648,1.1459975724418956,-1.3355662679920592,-2.912934232254823,-3.743724122022589,Yes,True,True,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bedroom?,No,20.0,2,-3.445504665374756,-2.006523609161377,-0.544071076189478,1.7462778472031157,-2.901433589185278,-3.7528014563644927,No,True,False,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the office?,Yes,20.0,1,-2.372753858566284,-4.882275581359863,0.5198043812066317,-1.131623315749069,-2.892558239772916,-3.7506522656107943,Yes,True,True,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the hallway?,No,20.0,1,-3.4928531646728516,-3.1825826168060303,-0.6002949248999356,0.5680696488047641,-2.892558239772916,-3.7506522656107943,No,True,False,True
qa1,15,[11],John moved to the bathroom.,Is John in the bathroom?,Yes,20.0,2,-2.5082459449768066,-4.614546775817871,0.3931876442084712,-0.8617453194533784,-2.901433589185278,-3.7528014563644927,Yes,True,True,True
qa1,15,[11],John moved to the bathroom.,Is John in the office?,No,20.0,1,-4.014710903167725,-2.3869407176971436,-1.1221526633948087,1.3637115479136508,-2.892558239772916,-3.7506522656107943,No,True,False,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the bathroom?,Yes,20.0,0,-1.5480402708053589,-5.3619160652160645,1.364893961449464,-1.6181919431934753,-2.912934232254823,-3.743724122022589,Yes,True,True,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the kitchen?,No,20.0,4,-2.8277158737182617,-1.8929389715194702,0.0930947555849948,1.8522022354726988,-2.9208106293032565,-3.745141206992169,No,True,False,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the bathroom?,Yes,20.0,3,-1.7263678312301636,-4.269466876983643,1.1909337501972912,-0.5219273937866094,-2.9173015814274548,-3.7475394831970332,Yes,True,True,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the kitchen?,No,20.0,1,-3.532749652862549,-2.5308609008789062,-0.6401914130896329,1.219791364731888,-2.892558239772916,-3.7506522656107943,No,True,False,True
