Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,physical-dynamics,,negation,1.0,The speck on the wheel is rotating.,Is the wheel rolling?,Yes,0,-0.9960192441940308,-0.49409544467926025,-0.35250517477591825,-1.1376095140973728,-0.6435140694181125,Yes,True
2.0,1.0,physical-dynamics,,negation,1.0,The speck on the wheel is rotating.,Is the wheel sliding?,No,0,-1.5077537298202515,-0.2616908550262451,-0.864239660402139,-0.9052049244443576,-0.6435140694181125,Yes,False
3.0,1.0,physical-dynamics,,negation,2.0,The speck on the wheel is not rotating.,Is the wheel rolling?,No,0,-1.3280788660049438,-0.33005011081695557,-0.6845647965868313,-0.9735641802350681,-0.6435140694181125,Yes,False
4.0,1.0,physical-dynamics,,negation,2.0,The speck on the wheel is not rotating.,Is the wheel sliding?,Yes,0,-1.1561897993087769,-0.4042685031890869,-0.5126757298906643,-1.0477825726071994,-0.6435140694181125,Yes,True
5.0,2.0,physical-dynamics,,other,1.0,"In a moment, the top of the wheel will touch the floor.",Is the wheel rolling?,Yes,0,-0.988223671913147,-0.48826003074645996,-0.34470960249503446,-1.1317741001645725,-0.6435140694181125,Yes,True
6.0,2.0,physical-dynamics,,other,1.0,"In a moment, the top of the wheel will touch the floor.",Is the wheel sliding?,No,0,-0.988223671913147,-0.4863009452819824,-0.34470960249503446,-1.129815014700095,-0.6435140694181125,Yes,False
7.0,2.0,physical-dynamics,,other,2.0,"In a moment, the top of the wheel will remain at the top.",Is the wheel rolling?,No,0,-1.5155657529830933,-0.2656031847000122,-0.8720516835649808,-0.9091172541181247,-0.6435140694181125,Yes,False
8.0,2.0,physical-dynamics,,other,2.0,"In a moment, the top of the wheel will remain at the top.",Is the wheel sliding?,Yes,0,-1.9218302965164185,-0.168928861618042,-1.278316227098306,-0.8124429310361545,-0.6435140694181125,No,False
9.0,3.0,physical-dynamics,,other,1.0,The wheel is moving forward on a surface. The surface is very flat.,Is the wheel rolling?,Yes,0,-0.33193325996398926,-1.3280891180038452,0.31158080945412325,-1.9716031874219577,-0.6435140694181125,Yes,True
10.0,3.0,physical-dynamics,,other,1.0,The wheel is moving forward on a surface. The surface is very flat.,Is the wheel sliding?,No,0,-0.8436774015426636,-0.5937232971191406,-0.20016333212455106,-1.2372373665372531,-0.6435140694181125,Yes,False
