property,prefix,Context,Question,Correct Answer,negative_sample_type,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,0,-0.6127989292144775,-0.8630801439285278,-0.9095122935339097,-0.5663667796090956,0.2967133643194322,No,False
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,0,-0.5581077337265015,-1.0543937683105469,-0.8548210980459336,-0.7576804039911147,0.2967133643194322,No,False
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,0,-2.1244113445281982,-0.18618839979171753,-2.42112470884763,0.11052496452771465,0.2967133643194322,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,0,-2.327713966369629,-0.13558198511600494,-2.624427330689061,0.16113137920342724,0.2967133643194322,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,0,-3.077629327774048,-0.07107057422399521,-3.37434269209348,0.22564279009543697,0.2967133643194322,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,0,-1.4991437196731567,-0.31204164028167725,-1.795857083992589,-0.015328275962245064,0.2967133643194322,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,0,-1.2250484228134155,-0.41280704736709595,-1.5217617871328477,-0.11609368304766376,0.2967133643194322,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,0,-1.44475519657135,-0.3200942575931549,-1.7414685608907823,-0.023380893273722725,0.2967133643194322,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,0,-0.9835319519042969,-0.6090235114097595,-1.280245316223729,-0.31231014709032734,0.2967133643194322,No,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,0,-1.397663950920105,-0.3335443437099457,-1.6943773152395372,-0.036830979390513496,0.2967133643194322,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,0,-1.49176025390625,-0.30250611901283264,-1.7884736182256822,-0.005792754693400459,0.2967133643194322,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,0,-2.671295642852783,-0.11152426898479462,-2.968009007172215,0.18518909533463757,0.2967133643194322,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,0,-0.24669142067432404,-1.74980890750885,-0.5434047849937562,-1.453095543189418,0.2967133643194322,Yes,True
