property,prefix,Context,Question,Correct Answer,negative_sample_type,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,0,-0.22698119282722473,-10.312383651733398,-0.782564632973767,-9.756800211586857,0.5555834401465423,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,0,-0.5267574191093445,-9.68735122680664,-1.0823408592558867,-9.131767786660099,0.5555834401465423,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,0,-7.874769687652588,-0.3632199764251709,-8.43035312779913,0.19236346372137136,0.5555834401465423,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,0,-5.343512058258057,-0.40619349479675293,-5.8990954984045985,0.14938994534978933,0.5555834401465423,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,0,-8.437331199645996,-0.7030912637710571,-8.992914639792538,-0.14750782362451487,0.5555834401465423,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,0,-2.077404022216797,-1.9450651407241821,-2.632987462363339,-1.3894817005776399,0.5555834401465423,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,0,-0.6121246218681335,-3.4841012954711914,-1.1677080620146758,-2.928517855324649,0.5555834401465423,Yes,True
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,0,-5.093381404876709,-0.7772799730300903,-5.648964845023251,-0.22169653288354807,0.5555834401465423,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,0,-0.7763773202896118,-4.53111457824707,-1.331960760436154,-3.975531138100528,0.5555834401465423,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,0,-6.218553066253662,-1.4139894247055054,-6.774136506400204,-0.8584059845589631,0.5555834401465423,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,0,-2.5934250354766846,-0.8475567102432251,-3.149008475623227,-0.29197327009668284,0.5555834401465423,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,0,-9.812283515930176,-0.6405817270278931,-10.367866956076718,-0.0849982868813508,0.5555834401465423,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,0,-0.38830989599227905,-12.062309265136719,-0.9438933361388213,-11.506725824990177,0.5555834401465423,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,0,-0.28285640478134155,-9.499820709228516,-0.8384398449278838,-8.944237269081974,0.5555834401465423,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,0,-0.34928232431411743,-12.812368392944336,-0.9048657644606597,-12.256784952797794,0.5555834401465423,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,0,-0.3901875913143158,-7.312351226806641,-0.9457710314608581,-6.756767786660099,0.5555834401465423,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,0,-7.343553066253662,-1.15619695186615,-7.899136506400204,-0.6006135117196076,0.5555834401465423,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,0,-0.6049593687057495,-3.734245777130127,-1.1605428088522918,-3.1786623369835847,0.5555834401465423,Yes,False
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,0,-0.19069351255893707,-4.812368869781494,-0.7462769527054793,-4.256785429634952,0.5555834401465423,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,0,-0.2554261386394501,-6.624925136566162,-0.8110095787859923,-6.06934169641962,0.5555834401465423,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,0,-0.35295727849006653,-8.06235122680664,-0.9085407186366088,-7.506767786660099,0.5555834401465423,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,0,-0.5737249851226807,-2.4530210494995117,-1.129308425269223,-1.8974376093529695,0.5555834401465423,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,0,-7.281026363372803,-0.589783787727356,-7.8366098035193446,-0.034200347580813695,0.5555834401465423,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,0,-2.905881643295288,-1.288998007774353,-3.4614650834418303,-0.7334145676278108,0.5555834401465423,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,0,-2.171295642852783,-2.0467803478240967,-2.7268790829993255,-1.4911969076775544,0.5555834401465423,No,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,0,-0.2534739673137665,-10.687397956848145,-0.8090574074603087,-10.131814516701603,0.5555834401465423,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,0,-0.5269767642021179,-5.781144618988037,-1.0825602043486602,-5.225561178841495,0.5555834401465423,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,0,-3.6090009212493896,-0.8632024526596069,-4.1645843613959315,-0.30761901251306467,0.5555834401465423,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,0,-0.22694534063339233,-10.374820709228516,-0.7825287807799346,-9.819237269081974,0.5555834401465423,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,0,-0.26122498512268066,-5.12489128112793,-0.8168084252692229,-4.569307840981388,0.5555834401465423,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,0,-0.31402167677879333,-9.999859809875488,-0.8696051169253356,-9.444276369728946,0.5555834401465423,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,0,-0.7452924847602844,-1.7498313188552856,-1.3008759249068267,-1.1942478787087434,0.5555834401465423,No,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,0,-1.2966011762619019,-2.0467610359191895,-1.8521846164084441,-1.4911775957726472,0.5555834401465423,No,True
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,0,-1.514947533607483,-1.3904995918273926,-2.070530973754025,-0.8349161516808503,0.5555834401465423,No,False
can be bent,a leg,'',Can a leg be bent?,Yes,random,0,-0.28274381160736084,-11.187397956848145,-0.8383272517539031,-10.631814516701603,0.5555834401465423,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,0,-5.656096458435059,-0.714802622795105,-6.2116798985816,-0.15921918264856272,0.5555834401465423,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,0,-0.14510758221149445,-8.87491512298584,-0.7006910223580367,-8.319331682839298,0.5555834401465423,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,0,-0.3157367706298828,-11.937331199645996,-0.8713202107764251,-11.381747759499454,0.5555834401465423,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,0,-2.5775270462036133,-1.3279829025268555,-3.1331104863501555,-0.7723994623803132,0.5555834401465423,No,True
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,0,-0.31021207571029663,-2.937368631362915,-0.8657955158568389,-2.3817851912163728,0.5555834401465423,Yes,True
can be broken,a sweater,'',Can a sweater be broken?,No,random,0,-0.1841132491827011,-7.187341690063477,-0.7396966893292434,-6.631758249916935,0.5555834401465423,Yes,False
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,0,-0.39942610263824463,-3.281075954437256,-0.9550095427847869,-2.7254925142907136,0.5555834401465423,Yes,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,0,-0.5227330923080444,-10.812383651733398,-1.0783165324545867,-10.256800211586857,0.5555834401465423,Yes,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,0,-0.15102307498455048,-7.030805587768555,-0.7066065151310927,-6.475222147622013,0.5555834401465423,Yes,False
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,0,-0.43128567934036255,-11.437409400939941,-0.9868691194869048,-10.8818259607934,0.5555834401465423,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,0,-2.17163348197937,-1.5546259880065918,-2.7272169221259124,-0.9990425478600495,0.5555834401465423,No,True
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,0,-0.4761912226676941,-10.437409400939941,-1.0317746628142364,-9.8818259607934,0.5555834401465423,Yes,True
can be covered,butter,'',Can butter be covered?,No,random,0,-0.2849175035953522,-6.968706130981445,-0.8405009437418944,-6.4131226908349035,0.5555834401465423,Yes,False
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,0,-0.2532772719860077,-3.874769449234009,-0.80886071213255,-3.3191860090874665,0.5555834401465423,Yes,False
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,0,-0.35103896260261536,-10.874841690063477,-0.9066224027491576,-10.319258249916935,0.5555834401465423,Yes,True
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,0,-3.2495954036712646,-0.7459543943405151,-3.805178843817807,-0.19037095419397287,0.5555834401465423,No,True
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,0,-7.812254428863525,-0.9882334470748901,-8.367837869010067,-0.4326500069283479,0.5555834401465423,No,True
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,0,-0.5777389407157898,-9.374876976013184,-1.133322380862332,-8.819293535866642,0.5555834401465423,Yes,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,0,-0.333516001701355,-4.093564987182617,-0.8890994418478972,-3.537981547036075,0.5555834401465423,Yes,False
can be curly,hair,'',Can hair be curly?,Yes,random,0,-0.38807517290115356,-11.124903678894043,-0.9436586130476958,-10.569320238747501,0.5555834401465423,Yes,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,0,-0.2533511221408844,-9.624841690063477,-0.8089345622874267,-9.069258249916935,0.5555834401465423,Yes,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,0,-1.1636673212051392,-1.7889796495437622,-1.7192507613516814,-1.23339620939722,0.5555834401465423,No,True
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,0,-0.2548205256462097,-10.312254905700684,-0.810403965792752,-9.756671465554142,0.5555834401465423,Yes,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,0,-5.999703884124756,-0.4530489444732666,-6.555287324271298,0.10253449567327566,0.5555834401465423,No,True
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random,0,-0.42933326959609985,-11.06235122680664,-0.9849167097426421,-10.506767786660099,0.5555834401465423,Yes,False
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random,0,-0.28271424770355225,-10.18735122680664,-0.8382976878500945,-9.631767786660099,0.5555834401465423,Yes,True
can be deflated,flour,'',Can flour be deflated?,No,random,0,-6.406075954437256,-0.6444973945617676,-6.961659394583798,-0.08891395441522532,0.5555834401465423,No,True
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random,0,-0.16161847114562988,-9.499876976013184,-0.7172019112921721,-8.944293535866642,0.5555834401465423,Yes,True
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random,0,-0.1442648470401764,-12.374876976013184,-0.6998482871867187,-11.819293535866642,0.5555834401465423,Yes,True
can be driven,a motorcycle,'',Can a motorcycle be driven?,Yes,random,0,-0.22698119282722473,-11.124876976013184,-0.782564632973767,-10.569293535866642,0.5555834401465423,Yes,True
can be driven,satsuma,'',Can satsuma be driven?,No,random,0,-3.7966177463531494,-0.9257303476333618,-4.352201186499691,-0.37014690748681955,0.5555834401465423,No,True
can be eaten cold,a date,'',Can a date be eaten cold?,Yes,random,0,-0.5267574191093445,-7.468575954437256,-1.0823408592558867,-6.912992514290714,0.5555834401465423,Yes,True
can be eaten dried,an apricot,'',Can an apricot be eaten dried?,Yes,random,0,-0.5265910029411316,-7.531064987182617,-1.0821744430876739,-6.975481547036075,0.5555834401465423,Yes,True
can be eaten raw,tomato,'',Can tomato be eaten raw?,Yes,random,0,-0.18268579244613647,-8.249738693237305,-0.7382692325926787,-7.694155253090763,0.5555834401465423,Yes,True
can be eaten raw,a caravan,'',Can a caravan be eaten raw?,No,random,0,-5.655996799468994,-0.8475627899169922,-6.211580239615536,-0.2919793497704499,0.5555834401465423,No,True
can be eaten with chips,a deer,'',Can a deer be eaten with chips?,No,random,0,-2.7339236736297607,-1.2342803478240967,-3.289507113776303,-0.6786969076775544,0.5555834401465423,No,True
can be emptied,a bolt,'',Can a bolt be emptied?,No,random,0,-0.19569534063339233,-4.3124098777771,-0.7512787807799346,-3.7568264376305573,0.5555834401465423,Yes,False
can be empty,a barrel,'',Can a barrel be empty?,Yes,random,0,-0.18223901093006134,-8.312383651733398,-0.7378224510766036,-7.756800211586857,0.5555834401465423,Yes,True
can be environmentally friendly,a coach,'',Can a coach be environmentally friendly?,Yes,random,0,-0.3511912226676941,-12.249876976013184,-0.9067746628142364,-11.694293535866642,0.5555834401465423,Yes,True
can be environmentally friendly,a trumpet,'',Can a trumpet be environmentally friendly?,No,random,0,-3.5778050422668457,-0.9569754600524902,-4.1333884824133875,-0.40139201990594797,0.5555834401465423,No,True
can be fair,a piano,'',Can a piano be fair?,No,random,0,-2.7341012954711914,-0.7303906679153442,-3.2896847356177337,-0.17480722776880198,0.5555834401465423,No,True
can be fastened,a caravan,'',Can a caravan be fastened?,No,random,0,-0.31804245710372925,-6.187445163726807,-0.8736258972502715,-5.631861723580265,0.5555834401465423,Yes,False
can be filled,a bathtub,'',Can a bathtub be filled?,Yes,random,0,-0.20449750125408173,-10.187368392944336,-0.760080941400624,-9.631784952797794,0.5555834401465423,Yes,True
can be filled with custard,cucumber,'',Can cucumber be filled with custard?,No,random,0,-1.7418937683105469,-1.6171331405639648,-2.297477208457089,-1.0615497004174226,0.5555834401465423,No,True
can be filled with helium,a lorry,'',Can a lorry be filled with helium?,No,random,0,-4.374738693237305,-0.9999452829360962,-4.9303221333838465,-0.44436184278955393,0.5555834401465423,No,True
can be filled with jam,a donut,'',Can a donut be filled with jam?,Yes,random,0,-0.47596925497055054,-11.437368392944336,-1.0315526951170928,-10.881784952797794,0.5555834401465423,Yes,True
can be filling,a houseboat,'',Can a houseboat be filling?,No,random,0,-0.29634740948677063,-3.296774387359619,-0.8519308496333129,-2.741190947213077,0.5555834401465423,Yes,False
can be fished,a herring,'',Can a herring be fished?,Yes,random,0,-0.6361931562423706,-8.999876976013184,-1.1917765963889129,-8.444293535866642,0.5555834401465423,Yes,True
can be flared,a trouser,'',Can a trouser be flared?,Yes,random,0,-0.3158511221408844,-8.999876976013184,-0.8714345622874267,-8.444293535866642,0.5555834401465423,Yes,True
can be flavored,a camel,'',Can a camel be flavored?,No,random,0,-0.3215025067329407,-5.937341690063477,-0.8770859468794829,-5.381758249916935,0.5555834401465423,Yes,False
can be flavored with lemon,lettuce,'',Can lettuce be flavored with lemon?,No,random,0,-0.31399381160736084,-10.937383651733398,-0.8695772517539031,-10.381800211586857,0.5555834401465423,Yes,False
can be fluffy,a banjo,'',Can a banjo be fluffy?,No,random,0,-7.437269687652588,-0.49407076835632324,-7.99285312779913,0.06151267179021902,0.5555834401465423,No,True
can be folded,a finger,'',Can a finger be folded?,No,random,0,-0.4468027353286743,-4.437376499176025,-1.0023861754752166,-3.881793059029483,0.5555834401465423,Yes,False
can be found at orchestras,a flute,'',Can a flute be found at orchestras?,Yes,random,0,-2.6869113445281982,-1.0545302629470825,-3.2424947846747405,-0.49894682280054026,0.5555834401465423,No,False
can be found by the fire,an onion,'',Can an onion be found by the fire?,No,random,0,-2.343357801437378,-2.343637704849243,-2.89894124158392,-1.788054264702701,0.5555834401465423,No,True
can be found in a kitchen drawer,a peeler,'',Can a peeler be found in a kitchen drawer?,Yes,random,0,-0.22716744244098663,-11.31235122680664,-0.7827508825875289,-10.756767786660099,0.5555834401465423,Yes,True
can be found in bedrooms,a bed,'',Can a bed be found in bedrooms?,Yes,random,0,-0.22694534063339233,-12.312254905700684,-0.7825287807799346,-11.756671465554142,0.5555834401465423,Yes,True
can be found in bedrooms,a squirrel,'',Can a squirrel be found in bedrooms?,No,random,0,-0.7133472561836243,-4.40594482421875,-1.2689306963301665,-3.8503613840722077,0.5555834401465423,Yes,False
can be found in boats or ships,a deckchair,'',Can a deckchair be found in boats or ships?,Yes,random,0,-0.1283511221408844,-9.874704360961914,-0.6839345622874267,-9.319120920815372,0.5555834401465423,Yes,True
can be found in boats or ships,a trout,'',Can a trout be found in boats or ships?,No,random,0,-0.5539377331733704,-3.796583652496338,-1.1095211733199126,-3.2410002123497956,0.5555834401465423,Yes,False
can be found in cars,a clamp,'',Can a clamp be found in cars?,Yes,random,0,-0.6477757692337036,-2.265533447265625,-1.2033592093802459,-1.7099500071190827,0.5555834401465423,Yes,True
can be found in cars,a soup,'',Can a soup be found in cars?,No,random,0,-0.37831538915634155,-3.99991512298584,-0.9338988293028838,-3.4443316828392976,0.5555834401465423,Yes,False
can be found in cold climate,a pie,'',Can a pie be found in cold climate?,No,random,0,-0.31806161999702454,-6.374904155731201,-0.8736450601435668,-5.819320715584659,0.5555834401465423,Yes,False
can be found in dark places,a millipede,'',Can a millipede be found in dark places?,Yes,random,0,-0.2554261386394501,-8.999859809875488,-0.8110095787859923,-8.444276369728946,0.5555834401465423,Yes,True
can be found in factories,a spoon,'',Can a spoon be found in factories?,No,random,0,-0.2535247206687927,-8.499903678894043,-0.809108160815335,-7.944320238747501,0.5555834401465423,Yes,False
can be found in forests,a skunk,'',Can a skunk be found in forests?,Yes,random,0,-0.4309347867965698,-9.312254905700684,-0.9865182269431121,-8.756671465554142,0.5555834401465423,Yes,True
can be found in forests,a strainer,'',Can a strainer be found in forests?,No,random,0,-1.592970371246338,-1.4686375856399536,-2.14855381139288,-0.9130541454934114,0.5555834401465423,No,True
can be found in gardens,a bowl,'',Can a bowl be found in gardens?,No,random,0,-0.16932517290115356,-5.78111457824707,-0.7249086130476958,-5.2255311381005285,0.5555834401465423,Yes,False
can be found in hot climate,an iguana,'',Can an iguana be found in hot climate?,Yes,random,0,-0.38823530077934265,-11.124876976013184,-0.9438187409258849,-10.569293535866642,0.5555834401465423,Yes,True
can be found in hot climate,a bomb,'',Can a bomb be found in hot climate?,No,random,0,-0.4820711016654968,-6.093564987182617,-1.037654541812039,-5.537981547036075,0.5555834401465423,Yes,False
can be found in houses,a peeler,'',Can a peeler be found in houses?,Yes,random,0,-0.3160000741481781,-8.937409400939941,-0.8715835142947204,-8.3818259607934,0.5555834401465423,Yes,True
can be found in houses,a thumb,'',Can a thumb be found in houses?,No,random,0,-1.6481528282165527,-1.2733699083328247,-2.203736268363095,-0.7177864681862824,0.5555834401465423,No,True
can be found in nests,a termite,'',Can a termite be found in nests?,Yes,random,0,-0.3509310185909271,-10.062331199645996,-0.9065144587374694,-9.506747759499454,0.5555834401465423,Yes,True
