property,prefix,Context,Question,Correct Answer,negative_sample_type,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-3.9773828983306885,-5.484485149383545,-8.864314079284668,-8.113479614257812,4.8869311809539795,2.6289944648742676,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-4.047296047210693,-6.358036041259766,-8.864314079284668,-8.113479614257812,4.817018032073975,1.7554435729980469,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-4.075919151306152,-4.356356620788574,-8.864314079284668,-8.113479614257812,4.788394927978516,3.7571229934692383,Yes,False
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-4.506786823272705,-3.525489568710327,-8.864314079284668,-8.113479614257812,4.357527256011963,4.587990045547485,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-5.822734355926514,-4.354951858520508,-8.864314079284668,-8.113479614257812,3.0415797233581543,3.7585277557373047,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-5.101323127746582,-6.17966365814209,-8.864314079284668,-8.113479614257812,3.762990951538086,1.9338159561157227,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-5.463783264160156,-4.0451178550720215,-8.864314079284668,-8.113479614257812,3.4005308151245117,4.068361759185791,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-3.7989766597747803,-4.313047885894775,-8.864314079284668,-8.113479614257812,5.065337419509888,3.800431728363037,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,-4.66511344909668,-6.975853443145752,-8.864314079284668,-8.113479614257812,4.199200630187988,1.1376261711120605,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-3.8226795196533203,-4.831251621246338,-8.864314079284668,-8.113479614257812,5.041634559631348,3.2822279930114746,Yes,False
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-3.769915819168091,-6.274155616760254,-8.864314079284668,-8.113479614257812,5.094398260116577,1.8393239974975586,Yes,False
