property,prefix,Context,Question,Correct Answer,negative_sample_type,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-3.2789957523345947,-5.498497486114502,-15.274587631225586,-12.621665000915527,11.995591878890991,7.123167514801025,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-4.768345832824707,-8.11324405670166,-15.274587631225586,-12.621665000915527,10.506241798400879,4.508420944213867,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-4.897363185882568,-3.9795336723327637,-15.274587631225586,-12.621665000915527,10.377224445343018,8.642131328582764,Yes,False
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-4.340669631958008,-3.1382625102996826,-15.274587631225586,-12.621665000915527,10.933917999267578,9.483402490615845,Yes,False
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-5.332353591918945,-3.2738771438598633,-15.274587631225586,-12.621665000915527,9.94223403930664,9.347787857055664,Yes,False
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-4.4869513511657715,-5.577559947967529,-15.274587631225586,-12.621665000915527,10.787636280059814,7.044105052947998,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-4.533362865447998,-3.518662691116333,-15.274587631225586,-12.621665000915527,10.741224765777588,9.103002309799194,Yes,True
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-6.2041401863098145,-6.739618301391602,-15.274587631225586,-12.621665000915527,9.070447444915771,5.882046699523926,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,-4.927046775817871,-5.5005693435668945,-15.274587631225586,-12.621665000915527,10.347540855407715,7.121095657348633,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-4.461377143859863,-4.463003158569336,-15.274587631225586,-12.621665000915527,10.813210487365723,8.158661842346191,Yes,False
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-5.701153755187988,-6.1416401863098145,-15.274587631225586,-12.621665000915527,9.573433876037598,6.480024814605713,Yes,False
can bark,an arrow,'',Can an arrow bark?,No,random,-3.675743818283081,-4.0876336097717285,-15.274587631225586,-12.621665000915527,11.598843812942505,8.534031391143799,Yes,False
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-2.851649522781372,-6.245082378387451,-15.274587631225586,-12.621665000915527,12.422938108444214,6.376582622528076,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-3.1045336723327637,-5.0279717445373535,-15.274587631225586,-12.621665000915527,12.170053958892822,7.593693256378174,Yes,False
