property,prefix,Context,Question,Correct Answer,negative_sample_type,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-3.7972559928894043,-8.248116493225098,-12.775757789611816,-13.79996109008789,8.978501796722412,5.551844596862793,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-4.586517810821533,-7.413478851318359,-12.775757789611816,-13.79996109008789,8.189239978790283,6.386482238769531,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-9.99474048614502,-8.682575225830078,-12.775757789611816,-13.79996109008789,2.781017303466797,5.1173858642578125,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-6.040256977081299,-5.040256977081299,-12.775757789611816,-13.79996109008789,6.735500812530518,8.759704113006592,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-8.213895797729492,-8.184469223022461,-12.775757789611816,-13.79996109008789,4.561861991882324,5.61549186706543,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-4.7865495681762695,-6.685342788696289,-12.775757789611816,-13.79996109008789,7.989208221435547,7.114618301391602,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-5.103397369384766,-4.13124942779541,-12.775757789611816,-13.79996109008789,7.672360420227051,9.66871166229248,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-10.009566307067871,-11.48843002319336,-12.775757789611816,-13.79996109008789,2.7661914825439453,2.3115310668945312,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,-3.1942880153656006,-5.200101852416992,-12.775757789611816,-13.79996109008789,9.581469774246216,8.599859237670898,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-5.834848880767822,-7.589181423187256,-12.775757789611816,-13.79996109008789,6.940908908843994,6.210779666900635,Yes,False
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-3.5369303226470947,-5.0378313064575195,-12.775757789611816,-13.79996109008789,9.238827466964722,8.762129783630371,Yes,False
can bark,an arrow,'',Can an arrow bark?,No,random,-10.597887992858887,-5.326751708984375,-12.775757789611816,-13.79996109008789,2.1778697967529297,8.473209381103516,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-3.1773383617401123,-7.678493976593018,-12.775757789611816,-13.79996109008789,9.598419427871704,6.121467113494873,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-4.957131385803223,-6.958436965942383,-12.775757789611816,-13.79996109008789,7.818626403808594,6.841524124145508,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-5.830575466156006,-10.578519821166992,-12.775757789611816,-13.79996109008789,6.9451823234558105,3.2214412689208984,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-5.902207374572754,-10.655588150024414,-12.775757789611816,-13.79996109008789,6.8735504150390625,3.1443729400634766,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-8.702481269836426,-10.45916748046875,-12.775757789611816,-13.79996109008789,4.073276519775391,3.3407936096191406,Yes,False
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-8.261067390441895,-10.259391784667969,-12.775757789611816,-13.79996109008789,4.514690399169922,3.540569305419922,Yes,False
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-8.13833236694336,-8.635695457458496,-12.775757789611816,-13.79996109008789,4.637425422668457,5.1642656326293945,No,True
