Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
1,1,social-relations,1,negation,1,Chao knows Yan.,Are Chao and Yan friends?,Yes,20.0,0,-0.0025141474325209856,-11.437481880187988,1.235037769067164,-6.611304298724504,-1.2375519164996849,-4.826177581463484,Yes,True,True,True
2,1,social-relations,1,negation,1,Chao knows Yan.,Are Chao and Yan strangers?,No,20.0,0,-6.1248979568481445,-0.0078002214431762695,-4.88734604034846,4.818377360020308,-1.2375519164996849,-4.826177581463484,No,True,False,True
3,1,social-relations,1,negation,2,Chao doesn't know Yan.,Are Chao and Yan friends?,No,20.0,0,-9.18746280670166,-0.0024374723434448242,-7.949910890201975,4.823740109120039,-1.2375519164996849,-4.826177581463484,No,True,False,True
4,1,social-relations,1,negation,2,Chao doesn't know Yan.,Are Chao and Yan strangers?,Yes,20.0,0,-0.0026679099537432194,-8.87498664855957,1.2348840065459417,-4.048809067096086,-1.2375519164996849,-4.826177581463484,Yes,True,True,True
5,2,social-relations,2,antonym,1,Chao is warm toward Yan.,Are Chao and Yan friends?,Yes,20.0,0,-0.0017858276842162013,-14.937470436096191,1.2357660888154687,-10.111292854632708,-1.2375519164996849,-4.826177581463484,Yes,True,True,True
6,2,social-relations,2,antonym,1,Chao is warm toward Yan.,Are Chao and Yan strangers?,No,20.0,0,-8.499859809875488,-0.004186988342553377,-7.262307893375803,4.821990593120931,-1.2375519164996849,-4.826177581463484,No,True,False,True
8,2,social-relations,2,antonym,2,Chao is indifferent toward Yan.,Are Chao and Yan strangers?,Yes,20.0,0,-0.9022449254989624,-0.5273216962814331,0.3353069910007225,4.298855885182051,-1.2375519164996849,-4.826177581463484,No,False,False,False
9,3,social-relations,3,other,1,Chao likes Yan.,Are Chao and Yan friends?,Yes,20.0,0,-0.001915856497362256,-12.937477111816406,1.2356360600023226,-8.111299530352923,-1.2375519164996849,-4.826177581463484,Yes,True,True,True
10,3,social-relations,3,other,1,Chao likes Yan.,Are Chao and Yan strangers?,No,20.0,0,-7.12489128112793,-0.007092714309692383,-5.887339364628245,4.819084867153792,-1.2375519164996849,-4.826177581463484,No,True,False,True
13,4,social-relations,4,antonym,1,Chao enjoys spending time with Yan.,Are Chao and Yan friends?,Yes,20.0,0,-0.0017984180012717843,-15.687470436096191,1.235753498498413,-10.861292854632708,-1.2375519164996849,-4.826177581463484,Yes,True,True,True
14,4,social-relations,4,antonym,1,Chao enjoys spending time with Yan.,Are Chao and Yan strangers?,No,20.0,0,-8.687383651733398,-0.003983855247497559,-7.449831735233714,4.822193726215986,-1.2375519164996849,-4.826177581463484,No,True,False,True
16,4,social-relations,4,antonym,2,Chao is indifferent about spending time with Yan.,Are Chao and Yan strangers?,Yes,20.0,0,-2.0311508178710938,-0.15134775638580322,-0.7935989013714089,4.674829825077681,-1.2375519164996849,-4.826177581463484,No,False,False,False
17,5,social-relations,5,antonym,1,Chao likes Yan.,Is Chao Yan's friend?,Yes,20.0,0,-0.0017936869990080595,-10.499968528747559,1.2357582295006768,-5.673790947284075,-1.2375519164996849,-4.826177581463484,Yes,True,True,True
