question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"Jerry read a 200-page book in 10 hours. At that rate, how long will it take him to read a 320-page book?",(A) 16 hours,(B) 18 hours,(C) 24 hours,(D) 32 hours,A,C,False,20.0,0,-1.9687395095825195,-0.9687436819076538,-0.9687418937683105,-2.9687395095825195,-0.1535142871894335,0.6827918406118427,0.9830766968559801,-0.18712070061449415,-1.815225222393086,-1.6515355225194965,-1.9518185906242906,-2.7816188089680254,C,C,False,False
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,(A) 8,(B) 9,(C) 49,(D) 63,A,C,False,20.0,0,-1.3437232971191406,-2.0937232971191406,-0.8437157869338989,-2.0937159061431885,0.4715019252739454,-0.4421877745996441,1.1081028036903917,0.6879029028248369,-1.815225222393086,-1.6515355225194965,-1.9518185906242906,-2.7816188089680254,C,C,False,False
Find the value of 6 • 24 ÷ (8 − 5).,(A) 48,(B) 13,(C) −13,(D) 54,A,B,False,20.0,0,-1.74216628074646,-0.738264799118042,-1.7421602010726929,-1.9921602010726929,0.07305894164662607,0.9132707234014545,0.20965838955159777,0.7894586078953325,-1.815225222393086,-1.6515355225194965,-1.9518185906242906,-2.7816188089680254,B,B,False,False
Change 34 L 18 cL to liters.,(A) 34.18 L,(B) 35.8 L,(C) 34.018 L,(D) 214 L,A,D,False,20.0,0,-2.0779995918273926,-3.5780274868011475,-1.8202537298202515,-1.8202155828475952,-0.26277436943430654,-1.926491964281651,0.13156486080403917,0.9614032261204302,-1.815225222393086,-1.6515355225194965,-1.9518185906242906,-2.7816188089680254,D,D,False,False
"The Mills Library has 1,007,199 books. The Springvale Library has 907,082 books. Which of the following is the best estimate of how many more books the Mills Library has than the Springvale Library?","(A) 100,000 books","(B) 80,000 books","(C) 10,000 books","(D) 8,000 books",A,A,True,20.0,0,-0.9296296834945679,-1.1796424388885498,-1.9296424388885498,-2.4218013286590576,0.8855955388985182,0.47189308363094673,0.022176151735740834,0.35981748030896776,-1.815225222393086,-1.6515355225194965,-1.9518185906242906,-2.7816188089680254,A,A,True,True
Max and Jonathon were picking strawberries. Max picked 187 strawberries. Jonathon picked 223 strawberries. Together they ate 26 of the strawberries. Which expression shows a way to find the total number of strawberries Max and Jonathon have left?,(A) 190 + 220 – 30 + 4,(B) 185 + 225 – 25 + 1,(C) 200 + 200 – 30 – 4,(D) 200 + 200 – 25 – 1,A,A,True,20.0,0,-0.5936897993087769,-1.343672752380371,-2.8436508178710938,-3.3436226844787598,1.2215354230843092,0.30786277013912544,-0.8918322272468031,-0.5620038755107344,-1.815225222393086,-1.6515355225194965,-1.9518185906242906,-2.7816188089680254,A,A,True,True
Which number has an absolute value greater than 5?,(A) -6,(B) -5,(C) 0,(D) 5,A,B,False,20.0,0,-2.374997854232788,-0.37890398502349854,-2.1249964237213135,-2.374997138977051,-0.559772631839702,1.272631537495998,-0.17317783309702284,0.4066216699909746,-1.815225222393086,-1.6515355225194965,-1.9518185906242906,-2.7816188089680254,B,B,False,False
"Mr. Jones rolls a six-sided cube numbered 1, 2, 3, 4, 5, 6. What is the probability he rolls a three?",(A) 6-Jan,(B) 5-Jan,(C) 3-Jan,(D) 2-Jan,A,C,False,20.0,0,-1.5468538999557495,-2.546858549118042,-0.796847939491272,-2.046840190887451,0.2683713224373365,-0.8953230265985455,1.1549706511330187,0.7347786180805742,-1.815225222393086,-1.6515355225194965,-1.9518185906242906,-2.7816188089680254,C,C,False,False
Find the number that makes the statement true: 0.32 g = _ cg.,(A) 32,(B) 3.2,"(C) 3,200",(D) 320,A,A,True,20.0,0,-0.9726120233535767,-0.9726400375366211,-2.7187159061431885,-2.9687061309814453,0.8426131990395094,0.6788954849828754,-0.7668973155188978,-0.18708732201341993,-1.815225222393086,-1.6515355225194965,-1.9518185906242906,-2.7816188089680254,A,A,True,True
"If a freight train travels at a speed of 20 miles per hour for 6 hours, how far will it travel?",(A) 120 miles,(B) 80 miles,(C) 26 miles,(D) 12 miles,A,A,True,20.0,0,-0.7031058073043823,-1.7031080722808838,-1.4530932903289795,-3.2030844688415527,1.1121194150887037,-0.051572549761387254,0.49872530029531115,-0.42146565987352735,-1.815225222393086,-1.6515355225194965,-1.9518185906242906,-2.7816188089680254,A,A,True,True
