task,QID,AnsRefIDs,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the hallway?,Yes,20.0,0,-0.4760052263736725,-1.1011673212051392,0.7999432254272203,-0.5773032965604216,-1.2759484518008928,-0.5238640246447176,Yes,True,True,True
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the bathroom?,No,20.0,0,-1.749333143234253,-0.2535695433616638,-0.47338469143336015,0.2702944812830538,-1.2759484518008928,-0.5238640246447176,No,True,False,True
qa1,6,[1],John travelled to the kitchen.,Is John in the kitchen?,Yes,20.0,3,-0.440491259098053,-1.186946988105774,0.8256921840986857,-0.6567743791189665,-1.2661834431967387,-0.5301726089868074,Yes,True,True,True
qa1,6,[1],John travelled to the kitchen.,Is John in the hallway?,No,20.0,2,-1.8271394968032837,-0.20562943816184998,-0.5528071468695999,0.3230990593709673,-1.2743323499336838,-0.5287284975328173,No,True,False,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the kitchen?,Yes,20.0,4,-0.352798730134964,-1.3510223627090454,0.9157546606846154,-0.8169427895452828,-1.2685533908195794,-0.5340795731637626,Yes,True,True,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the garden?,No,20.0,4,-2.2491438388824463,-0.1314285695552826,-0.9805904480628669,0.40265100360848005,-1.2685533908195794,-0.5340795731637626,No,True,False,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bathroom?,Yes,20.0,0,-0.3881113827228546,-1.2651876211166382,0.8878370690780382,-0.7413235964719206,-1.2759484518008928,-0.5238640246447176,Yes,True,True,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bedroom?,No,20.0,2,-2.1554200649261475,-0.15377844870090485,-0.8810877149924636,0.3749500488319124,-1.2743323499336838,-0.5287284975328173,No,True,False,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the office?,Yes,20.0,1,-0.5814310908317566,-0.9566671252250671,0.6696888138695309,-0.4201490731133769,-1.2511199047012875,-0.5365180521116902,Yes,True,True,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the hallway?,No,20.0,1,-1.4446810483932495,-0.32196667790412903,-0.19356114369196198,0.2145513742075612,-1.2511199047012875,-0.5365180521116902,No,True,False,True
qa1,15,[11],John moved to the bathroom.,Is John in the bathroom?,Yes,20.0,2,-0.47393858432769775,-1.1011147499084473,0.8003937656059861,-0.57238625237563,-1.2743323499336838,-0.5287284975328173,Yes,True,True,True
qa1,15,[11],John moved to the bathroom.,Is John in the office?,No,20.0,1,-2.2647552490234375,-0.13335463404655457,-1.01363534432215,0.40316341806513567,-1.2511199047012875,-0.5365180521116902,No,True,False,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the bathroom?,Yes,20.0,0,-0.5228535532951355,-1.0230485200881958,0.7530948985057573,-0.4991844954434782,-1.2759484518008928,-0.5238640246447176,Yes,True,True,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the kitchen?,No,20.0,4,-2.2647552490234375,-0.13533326983451843,-0.9962018582038581,0.3987463033292442,-1.2685533908195794,-0.5340795731637626,No,True,False,True
