task,QID,AnsRefIDs,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the hallway?,Yes,20.0,0,-0.11541350930929184,-11.062283515930176,2.2763023149532575,-6.83275833055377,-2.3917158242625494,-4.2295251853764055,Yes,True,True,True
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the bathroom?,No,20.0,0,-2.655470371246338,-0.9061508178710938,-0.26375454698378853,3.323374367505312,-2.3917158242625494,-4.2295251853764055,No,True,False,True
qa1,6,[1],John travelled to the kitchen.,Is John in the kitchen?,Yes,20.0,3,-0.16254837810993195,-12.437095642089844,2.1726511699069913,-8.13689115246137,-2.335199548016923,-4.300204489628474,Yes,True,True,True
qa1,6,[1],John travelled to the kitchen.,Is John in the hallway?,No,20.0,2,-6.405642509460449,-0.9100362062454224,-4.0154305627957605,3.4441624859968822,-2.3902119466646883,-4.354198692242305,No,True,False,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the kitchen?,Yes,20.0,4,-0.07145330309867859,-12.749738693237305,2.2819485529791566,-8.404804078613719,-2.353401856077835,-4.344934614623586,Yes,True,True,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the garden?,No,20.0,4,-7.0617899894714355,-0.6404995918273926,-4.7083881333936,3.7044350227961935,-2.353401856077835,-4.344934614623586,No,True,False,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bathroom?,Yes,20.0,0,-0.1631995588541031,-12.937254905700684,2.2285162654084463,-8.707729720324277,-2.3917158242625494,-4.2295251853764055,Yes,True,True,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bedroom?,No,20.0,2,-8.124446868896484,-0.9061568975448608,-5.734234922231796,3.4480417946974438,-2.3902119466646883,-4.354198692242305,No,True,False,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the office?,Yes,20.0,1,-0.16232506930828094,-11.437309265136719,2.107381145066271,-7.063081487889091,-2.269706214374552,-4.3742277772476275,Yes,True,True,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the hallway?,No,20.0,1,-2.061873435974121,-0.9296084642410278,0.20783277840043102,3.4446193130065996,-2.269706214374552,-4.3742277772476275,No,True,False,True
qa1,15,[11],John moved to the bathroom.,Is John in the bathroom?,Yes,20.0,2,-0.14448611438274384,-12.874704360961914,2.2457258322819444,-8.52050566871961,-2.3902119466646883,-4.354198692242305,Yes,True,True,True
qa1,15,[11],John moved to the bathroom.,Is John in the office?,No,20.0,1,-7.2807464599609375,-0.5819201469421387,-5.011040245586385,3.792307630305489,-2.269706214374552,-4.3742277772476275,No,True,False,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the bathroom?,Yes,20.0,0,-0.16210901737213135,-12.749704360961914,2.229606806890418,-8.520179175585508,-2.3917158242625494,-4.2295251853764055,Yes,True,True,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the kitchen?,No,20.0,4,-8.874446868896484,-0.9061508178710938,-6.521045012818649,3.4387837967524923,-2.353401856077835,-4.344934614623586,No,True,False,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the bathroom?,Yes,20.0,3,-0.18181666731834412,-13.312283515930176,2.153382880698579,-9.012079026301702,-2.335199548016923,-4.300204489628474,Yes,True,True,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the kitchen?,No,20.0,1,-9.124446868896484,-0.7655210494995117,-6.854740654521932,3.6087067277481157,-2.269706214374552,-4.3742277772476275,No,True,False,True
qa1,3,[1],John moved to the bathroom.,Is John in the bathroom?,Yes,20.0,0,-0.14448611438274384,-12.874704360961914,2.2472297098798055,-8.645179175585508,-2.3917158242625494,-4.2295251853764055,Yes,True,True,True
qa1,3,[1],John moved to the bathroom.,Is John in the garden?,No,20.0,2,-7.499332904815674,-0.6990939378738403,-5.109120958150985,3.6551047543684643,-2.3902119466646883,-4.354198692242305,No,True,False,True
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the bedroom?,Yes,20.0,2,-0.12896686792373657,-12.812254905700684,2.2612450787409517,-8.458056213458379,-2.3902119466646883,-4.354198692242305,Yes,True,True,True
