property,prefix,Context,Question,Correct Answer,negative_sample_type,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,0,-2.3531477451324463,-3.7600629329681396,-2.5463251175624984,-3.5668855605380876,0.19317737243005206,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,0,-1.908003330230713,-4.665647506713867,-2.101180702660765,-4.472470134283816,0.19317737243005206,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,0,-3.3911800384521484,-2.2228002548217773,-3.5843574108822005,-2.0296228823917253,0.19317737243005206,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,0,-3.5012402534484863,-2.8636035919189453,-3.6944176258785384,-2.6704262194888932,0.19317737243005206,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,0,-3.9387402534484863,-1.836838960647583,-4.131917625878538,-1.643661588217531,0.19317737243005206,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,0,-2.8478760719299316,-3.7988290786743164,-3.0410534443599837,-3.6056517062442643,0.19317737243005206,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,0,-4.434054374694824,-2.8443195819854736,-4.627231747124876,-2.6511422095554216,0.19317737243005206,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,0,-2.6193578243255615,-3.3564584255218506,-2.8125351967556136,-3.1632810530917985,0.19317737243005206,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,0,-2.7288129329681396,-4.202210903167725,-2.9219903053981917,-4.009033530737673,0.19317737243005206,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,0,-2.6646158695220947,-4.338983535766602,-2.857793241952147,-4.14580616333655,0.19317737243005206,Yes,False
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,0,-2.869107723236084,-3.4373373985290527,-3.062285095666136,-3.2441600260990007,0.19317737243005206,Yes,False
can bark,an arrow,'',Can an arrow bark?,No,random,0,-3.2353901863098145,-2.816904306411743,-3.4285675587398665,-2.623726933981691,0.19317737243005206,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,0,-2.489935874938965,-5.019853591918945,-2.683113247369017,-4.826676219488894,0.19317737243005206,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,0,-2.6484034061431885,-5.150503158569336,-2.8415807785732405,-4.957325786139284,0.19317737243005206,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,0,-1.9630032777786255,-4.836377143859863,-2.1561806502086776,-4.643199771429812,0.19317737243005206,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,0,-2.6338043212890625,-4.7447662353515625,-2.8269816937191146,-4.551588862921511,0.19317737243005206,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,0,-3.568216323852539,-3.804893970489502,-3.761393696282591,-3.61171659805945,0.19317737243005206,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,0,-3.357403516769409,-3.5324902534484863,-3.5505808891994612,-3.3393128810184343,0.19317737243005206,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,0,-3.288393497467041,-4.396792888641357,-3.481570869897093,-4.203615516211306,0.19317737243005206,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,0,-2.7312793731689453,-4.107940196990967,-2.9244567455989974,-3.9147628245609147,0.19317737243005206,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,0,-2.426452159881592,-3.895540237426758,-2.619629532311644,-3.7023628649967057,0.19317737243005206,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,0,-2.757143497467041,-3.507899522781372,-2.950320869897093,-3.31472215035132,0.19317737243005206,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,0,-3.2541794776916504,-3.775691270828247,-3.4473568501217025,-3.582513898398195,0.19317737243005206,Yes,False
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,0,-3.0329296588897705,-3.7073535919189453,-3.2261070313198226,-3.5141762194888932,0.19317737243005206,Yes,False
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,0,-2.578205108642578,-3.705845832824707,-2.77138248107263,-3.512668460394655,0.19317737243005206,Yes,False
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,0,-2.6416401863098145,-4.609930038452148,-2.8348175587398665,-4.416752666022097,0.19317737243005206,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,0,-2.8531625270843506,-4.621554374694824,-3.0463398995144026,-4.428377002264773,0.19317737243005206,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,0,-2.642519235610962,-3.7092928886413574,-2.835696608041014,-3.5161155162113054,0.19317737243005206,Yes,False
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,0,-2.515705108642578,-5.1068501472473145,-2.70888248107263,-4.913672774817263,0.19317737243005206,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,0,-2.894493818283081,-4.146792888641357,-3.087671190713133,-3.9536155162113054,0.19317737243005206,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,0,-1.8161848783493042,-5.487490653991699,-2.0093622507793563,-5.294313281561648,0.19317737243005206,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,0,-2.9079296588897705,-3.0040502548217773,-3.1011070313198226,-2.8108728823917253,0.19317737243005206,No,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,0,-3.5012402534484863,-3.8813138008117676,-3.6944176258785384,-3.6881364283817155,0.19317737243005206,No,True
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,0,-2.3982677459716797,-3.776012897491455,-2.5914451184017318,-3.582835525061403,0.19317737243005206,Yes,True
can be bent,a leg,'',Can a leg be bent?,Yes,random,0,-2.290466070175171,-2.963676929473877,-2.483643442605223,-2.770499557043825,0.19317737243005206,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,0,-3.0119407176971436,-3.234455108642578,-3.2051180901271956,-3.041277736212526,0.19317737243005206,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,0,-2.279003858566284,-4.610836505889893,-2.4721812309963362,-4.417659133459841,0.19317737243005206,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,0,-2.378308057785034,-4.333040237426758,-2.5714854302150862,-4.139862864996706,0.19317737243005206,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,0,-3.1357080936431885,-3.5341696739196777,-3.3288854660732405,-3.3409923014896257,0.19317737243005206,Yes,False
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,0,-2.525357723236084,-4.263653755187988,-2.718535095666136,-4.070476382757937,0.19317737243005206,Yes,True
can be broken,a sweater,'',Can a sweater be broken?,No,random,0,-3.0786800384521484,-4.080845832824707,-3.2718574108822005,-3.887668460394655,0.19317737243005206,Yes,False
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,0,-2.2427358627319336,-3.7931907176971436,-2.4359132351619857,-3.6000133452670915,0.19317737243005206,Yes,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,0,-2.0359976291656494,-5.052118301391602,-2.2291750015957015,-4.85894092896155,0.19317737243005206,Yes,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,0,-3.662848949432373,-4.273403167724609,-3.856026321862425,-4.080225795294558,0.19317737243005206,Yes,False
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,0,-2.269493818283081,-4.491905212402344,-2.462671190713133,-4.298727839972292,0.19317737243005206,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,0,-2.926790237426758,-3.882899522781372,-3.11996760985681,-3.68972215035132,0.19317737243005206,Yes,False
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,0,-1.980154275894165,-5.458040237426758,-2.173331648324217,-5.264862864996706,0.19317737243005206,Yes,True
can be covered,butter,'',Can butter be covered?,No,random,0,-1.8539793491363525,-3.2540502548217773,-2.0471567215664046,-3.0608728823917253,0.19317737243005206,Yes,False
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,0,-2.7631001472473145,-3.5036849975585938,-2.9562775196773665,-3.3105076251285417,0.19317737243005206,Yes,False
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,0,-2.221151828765869,-4.130748748779297,-2.414329201195921,-3.937571376349245,0.19317737243005206,Yes,True
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,0,-2.908355712890625,-4.115832328796387,-3.101533085320677,-3.9226549563663347,0.19317737243005206,Yes,False
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,0,-3.362873077392578,-3.6803531646728516,-3.55605044982263,-3.4871757922427995,0.19317737243005206,No,True
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,0,-2.2339658737182617,-4.17418909072876,-2.427143246148314,-3.9810117182987077,0.19317737243005206,Yes,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,0,-2.9335145950317383,-4.455845832824707,-3.1266919674617903,-4.262668460394655,0.19317737243005206,Yes,False
can be curly,hair,'',Can hair be curly?,Yes,random,0,-2.563286781311035,-4.395540237426758,-2.756464153741087,-4.202362864996706,0.19317737243005206,Yes,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,0,-1.9934322834014893,-4.819775581359863,-2.1866096558315413,-4.626598208929812,0.19317737243005206,Yes,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,0,-3.194098949432373,-3.28938627243042,-3.387276321862425,-3.096208900000368,0.19317737243005206,No,True
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,0,-2.669903516769409,-5.138653755187988,-2.8630808891994612,-4.945476382757937,0.19317737243005206,Yes,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,0,-3.380080461502075,-3.1652634143829346,-3.5732578339321273,-2.9720860419528825,0.19317737243005206,No,True
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random,0,-2.3401498794555664,-5.215856075286865,-2.5333272518856185,-5.022678702856814,0.19317737243005206,Yes,False
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random,0,-2.757275342941284,-4.545440196990967,-2.9504527153713362,-4.352262824560915,0.19317737243005206,Yes,True
can be deflated,flour,'',Can flour be deflated?,No,random,0,-3.326690435409546,-4.05074405670166,-3.519867807839598,-3.857566684271608,0.19317737243005206,Yes,False
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random,0,-2.3304390907287598,-5.0791401863098145,-2.523616463158812,-4.885962813879763,0.19317737243005206,Yes,True
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random,0,-2.254404306411743,-4.518345832824707,-2.4475816788417952,-4.325168460394655,0.19317737243005206,Yes,True
can be driven,a motorcycle,'',Can a motorcycle be driven?,Yes,random,0,-2.466503858566284,-4.296465873718262,-2.6596812309963362,-4.10328850128821,0.19317737243005206,Yes,True
can be driven,satsuma,'',Can satsuma be driven?,No,random,0,-2.883004665374756,-4.160376071929932,-3.076182037804808,-3.9671986994998796,0.19317737243005206,Yes,False
can be eaten cold,a date,'',Can a date be eaten cold?,Yes,random,0,-2.2964658737182617,-3.890705108642578,-2.489643246148314,-3.697527736212526,0.19317737243005206,Yes,True
can be eaten dried,an apricot,'',Can an apricot be eaten dried?,Yes,random,0,-1.9432487487792969,-4.600273609161377,-2.136426121209349,-4.407096236731325,0.19317737243005206,Yes,True
can be eaten raw,tomato,'',Can tomato be eaten raw?,Yes,random,0,-2.0443501472473145,-3.7959609031677246,-2.2375275196773665,-3.6027835307376725,0.19317737243005206,Yes,True
can be eaten raw,a caravan,'',Can a caravan be eaten raw?,No,random,0,-2.8030428886413574,-3.069643497467041,-2.9962202610714095,-2.876466125036989,0.19317737243005206,No,True
can be eaten with chips,a deer,'',Can a deer be eaten with chips?,No,random,0,-2.5040502548217773,-3.0047476291656494,-2.6972276272518294,-2.8115702567355974,0.19317737243005206,Yes,False
