property,prefix,Context,Question,Correct Answer,negative_sample_type,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,0,-0.8436897993087769,-0.5937216281890869,-0.0437398225498673,-1.3936716049479965,-0.7999499767589096,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,0,-0.863207221031189,-0.6132463216781616,-0.06325724427227941,-1.4131962984370712,-0.7999499767589096,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,0,-4.031177520751953,-0.04197120666503906,-3.2312275439930436,-0.8419211834239486,-0.7999499767589096,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,0,-3.5467803478240967,-0.04145944118499756,-2.746830371065187,-0.8414094179439071,-0.7999499767589096,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,0,-3.2968013286590576,-0.04342997074127197,-2.496851351900148,-0.8433799475001815,-0.7999499767589096,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,0,-2.1405489444732666,-0.14546144008636475,-1.340598967714357,-0.9454114168452743,-0.7999499767589096,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,0,-1.5541387796401978,-0.30044978857040405,-0.7541888028812882,-1.1003997653293136,-0.7999499767589096,Yes,True
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,0,-2.8280789852142334,-0.07127225399017334,-2.028129008455324,-0.8712222307490829,-0.7999499767589096,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,0,-1.7187031507492065,-0.2167748212814331,-0.918753173990297,-1.0167247980403427,-0.7999499767589096,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,0,-3.328065872192383,-0.07322049140930176,-2.5281158954334733,-0.8731704681682113,-0.7999499767589096,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,0,-2.6092803478240967,-0.10982847213745117,-1.8093303710651871,-0.9097784488963607,-0.7999499767589096,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,0,-4.999954700469971,-0.008775949478149414,-4.200004723711061,-0.808725926237059,-0.7999499767589096,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,0,-0.1278841495513916,-2.374983310699463,0.672065827207518,-3.1749332874583724,-0.7999499767589096,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,0,-1.4374724626541138,-0.43944013118743896,-0.6375224858952042,-1.2393901079463485,-0.7999499767589096,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,0,-0.351468563079834,-1.3515355587005615,0.44848141367907557,-2.151485535459471,-0.7999499767589096,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,0,-2.1561570167541504,-0.16108858585357666,-1.3562070399952408,-0.9610385626124862,-0.7999499767589096,No,True
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,0,-3.062441825866699,-0.06222832202911377,-2.2624918491077897,-0.8621782987880233,-0.7999499767589096,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,0,-3.2968177795410156,-0.04709804058074951,-2.496867802782106,-0.8470480173396591,-0.7999499767589096,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,0,-2.828065872192383,-0.08054459095001221,-2.0281158954334733,-0.8804945677089218,-0.7999499767589096,No,True
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,0,-2.1562061309814453,-0.1611166000366211,-1.3562561542225358,-0.9610665767955306,-0.7999499767589096,No,True
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,0,-2.1405892372131348,-0.1406080722808838,-1.3406392604542252,-0.9405580490397933,-0.7999499767589096,No,True
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,0,-3.2968177795410156,-0.04881167411804199,-2.496867802782106,-0.8487616508769515,-0.7999499767589096,No,True
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,0,-3.7811508178710938,-0.03048110008239746,-2.981200841112184,-0.830431076841307,-0.7999499767589096,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,0,-4.031203269958496,-0.020250439643859863,-3.2312532931995865,-0.8202004164027694,-0.7999499767589096,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,0,-3.531193494796753,-0.032942771911621094,-2.7312435180378434,-0.8328927486705306,-0.7999499767589096,No,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,0,-0.44917285442352295,-1.1952956914901733,0.3507771223353866,-1.995245668249083,-0.7999499767589096,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,0,-1.5468013286590576,-0.2948871850967407,-0.7468513519001481,-1.0948371618556503,-0.7999499767589096,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,0,-3.2968177795410156,-0.04221534729003906,-2.496867802782106,-0.8421653240489486,-0.7999499767589096,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,0,-1.7108910083770752,-0.21383893489837646,-0.9109410316181656,-1.013788911657286,-0.7999499767589096,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,0,-0.9960485696792603,-0.49801933765411377,-0.1960985929203507,-1.2979693144130233,-0.7999499767589096,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,0,-0.7147971391677856,-0.7148216962814331,0.08515283759112391,-1.5147716730403427,-0.7999499767589096,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,0,-2.8280789852142334,-0.07615864276885986,-2.028129008455324,-0.8761086195277694,-0.7999499767589096,No,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,0,-2.1405789852142334,-0.14842045307159424,-1.3406290084553238,-0.9483704298305038,-0.7999499767589096,No,True
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,0,-2.8280489444732666,-0.07516741752624512,-2.028098967714357,-0.8751173942851547,-0.7999499767589096,No,False
can be bent,a leg,'',Can a leg be bent?,Yes,random,0,-0.27535438537597656,-1.523427128791809,0.524595591382933,-2.3233771055507186,-0.7999499767589096,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,0,-3.5312061309814453,-0.03782546520233154,-2.7312561542225358,-0.8377754419612411,-0.7999499767589096,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,0,-1.156215786933899,-0.40622925758361816,-0.3562658101749894,-1.2061792343425277,-0.7999499767589096,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,0,-0.9999545812606812,-0.4999833106994629,-0.2000046045017716,-1.2999332874583724,-0.7999499767589096,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,0,-4.281189918518066,-0.020128369331359863,-3.481239941759157,-0.8200783460902694,-0.7999499767589096,No,True
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,0,-1.3359012603759766,-0.33591556549072266,-0.535951283617067,-1.1358655422496322,-0.7999499767589096,Yes,True
can be broken,a sweater,'',Can a sweater be broken?,No,random,0,-3.2968480587005615,-0.043932557106018066,-2.496898081941652,-0.8438825338649276,-0.7999499767589096,No,True
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,0,-1.515527367591858,-0.2655489444732666,-0.7155773908329484,-1.0654989212321762,-0.7999499767589096,Yes,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,0,-2.5780789852142334,-0.08396244049072266,-1.7781290084553238,-0.8839124172496322,-0.7999499767589096,No,False
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,0,-2.187441825866699,-0.19040203094482422,-1.3874918491077897,-0.9903520077037338,-0.7999499767589096,No,True
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,0,-0.863223671913147,-0.6132463216781616,-0.06327369515423742,-1.4131962984370712,-0.7999499767589096,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,0,-1.9296424388885498,-0.18356633186340332,-1.1296924621296403,-0.9835163086223129,-0.7999499767589096,No,True
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,0,-1.9296424388885498,-0.17673659324645996,-1.1296924621296403,-0.9766865700053695,-0.7999499767589096,No,False
can be covered,butter,'',Can butter be covered?,No,random,0,-1.3671296834945679,-0.36715245246887207,-0.5671797067356583,-1.1671024292277816,-0.7999499767589096,Yes,False
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,0,-2.1561899185180664,-0.15622162818908691,-1.3562399417591569,-0.9561716049479965,-0.7999499767589096,No,True
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,0,-1.0155657529830933,-0.5195094347000122,-0.2156157762241837,-1.3194594114589218,-0.7999499767589096,Yes,True
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,0,-3.781203269958496,-0.030260086059570312,-2.9812532931995865,-0.8302100628184799,-0.7999499767589096,No,True
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,0,-3.5312232971191406,-0.035146355628967285,-2.731273320360231,-0.8350963323878768,-0.7999499767589096,No,True
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,0,-0.5937031507492065,-0.8437327146530151,0.206246826009703,-1.6436826914119247,-0.7999499767589096,Yes,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,0,-2.374964714050293,-0.12107241153717041,-1.5750147372913834,-0.92102238829608,-0.7999499767589096,No,True
can be curly,hair,'',Can hair be curly?,Yes,random,0,-0.42183029651641846,-1.171858549118042,0.3781196802424911,-1.9718085258769515,-0.7999499767589096,Yes,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,0,-0.5272449254989624,-1.023409366607666,0.27270505125994715,-1.8233593433665756,-0.7999499767589096,Yes,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,0,-4.031189918518066,-0.028303146362304688,-3.231239941759157,-0.8282531231212142,-0.7999499767589096,No,True
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,0,-0.09369349479675293,-2.5937232971191406,0.7062564819621566,-3.39367327387805,-0.7999499767589096,Yes,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,0,-3.546830415725708,-0.039293885231018066,-2.7468804389667985,-0.8392438619899276,-0.7999499767589096,No,True
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random,0,-0.7265279293060303,-0.7265355587005615,0.07342204745287928,-1.526485535459471,-0.7999499767589096,Yes,False
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random,0,-0.6991829872131348,-0.6992056369781494,0.10076698954577479,-1.499155613737059,-0.7999499767589096,Yes,True
can be deflated,flour,'',Can flour be deflated?,No,random,0,-2.593703269958496,-0.0907982587814331,-1.7937532931995865,-0.8907482355403427,-0.7999499767589096,No,True
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random,0,-1.3280788660049438,-0.3261439800262451,-0.5281288892460343,-1.1260939567851547,-0.7999499767589096,Yes,True
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random,0,-0.10934019088745117,-2.3593623638153076,0.6906097858714584,-3.159312340574217,-0.7999499767589096,Yes,True
can be driven,a motorcycle,'',Can a motorcycle be driven?,Yes,random,0,-0.4901766777038574,-0.99216628074646,0.30977329905505213,-1.7921162575053695,-0.7999499767589096,Yes,True
can be driven,satsuma,'',Can satsuma be driven?,No,random,0,-3.2968013286590576,-0.04880702495574951,-2.496851351900148,-0.8487570017146591,-0.7999499767589096,No,True
can be eaten cold,a date,'',Can a date be eaten cold?,Yes,random,0,-1.1562031507492065,-0.4042685031890869,-0.356253173990297,-1.2042184799479965,-0.7999499767589096,Yes,True
can be eaten dried,an apricot,'',Can an apricot be eaten dried?,Yes,random,0,-0.7343013286590576,-0.7343401908874512,0.06564864809985194,-1.5342901676463607,-0.7999499767589096,Yes,True
