question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
In a Robertsonian translocation fusion occurs at the:,(A) telomeres.,(B) centromeres.,(C) histones.,(D) ends of the long arms.,B,-3.8568501472473145,-3.972027063369751,-5.5892229080200195,-3.8663854598999023,A,False
Zinc finger proteins and helix-turn-helix proteins are,(A) types of DNA-binding proteins,(B) involved in the control of translation,(C) components of ribosomes,(D) part of the hemoglobin in blood cells,A,-3.0775270462036133,-7.943248748779297,-7.701153755187988,-6.9654717445373535,A,True
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?",(A) 0.01,(B) 0.001,(C) 0.02,(D) 0.0001,A,-4.48824405670166,-4.9348649978637695,-5.491905212402344,-4.498497486114502,A,True
In DNA adenine normally pairs with:,(A) cytosine.,(B) guanine.,(C) thymine.,(D) uracil.,C,-5.5277605056762695,-8.223560333251953,-3.655944585800171,-5.6529717445373535,C,True
The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,(A) autosomal dominant.,(B) autosomal recessive.,(C) X-linked dominant.,(D) X-linked recessive.,A,-4.046465873718262,-4.8556904792785645,-4.491385459899902,-2.981435775756836,D,False
Mapping of human chromosomes:,(A) has been restricted to the sex chromosomes because of small family sizes,(B) proceeded much more successfully as large numbers of DNA markers became available.,(C) has determined that the number of linkage groups is about twice the number of chromosomes,(D) has demonstrated that almost all of the DNA is involved in coding for genes,B,-3.747753858566284,-2.5715134143829346,-4.306929588317871,-4.426452159881592,B,True
Intergenerational transmission to offspring can occur as a result of parental exposures to ______.,(A) war,(B) natural disasters,(C) hunger,(D) all of these,D,-5.076412677764893,-6.051452159881592,-4.921465873718262,-2.748297929763794,D,True
Asp235Phe in a molecular report indicates that:,(A) asparagine has been replaced by phenylalanine.,(B) phenylalanine has been replaced by asparagine.,(C) aspartic acid has been replaced by phenylalanine.,(D) phenylalanine has been replaced by aspartic acid.,C,-3.7974300384521484,-6.937065601348877,-3.6220145225524902,-3.3713998794555664,D,False
The risk of abnormality in the child of a mother with untreated phenylketonuria is:,(A) 1%,(B) 10%,(C) 25%,(D) Almost 100%,D,-4.525850296020508,-5.02970027923584,-3.218357801437378,-2.7183055877685547,D,True
Exon skipping is associated with:,(A) nonsense mutations.,(B) regulatory mutations.,(C) RNA processing mutations.,(D) silent mutations.,C,-2.8560450077056885,-4.975273609161377,-2.1087183952331543,-5.448358535766602,C,True
Which of the following is not a chromosome instability syndrome?,(A) Klinefelter syndrome,(B) Ataxia telangiectasia,(C) Fanconi anaemia,(D) Bloom syndrome,A,-2.2809040546417236,-6.015705108642578,-7.013653755187988,-7.121554374694824,A,True
Normal adult haemoglobin (Hb A) consists of:,(A) two α (alpha) and two β (beta) chains.,(B) two α and two γ (gamma) chains.,(C) two α and two δ (delta) chains.,(D) four γ chains.,A,-3.288525342941284,-4.490243911743164,-5.655860900878906,-5.603147506713867,A,True
In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,(A) Brother,(B) Nephew,(C) Grandchild,(D) Aunt,A,-4.403169631958008,-6.686122894287109,-5.773877143859863,-4.154380798339844,D,False
The mutation in sickle-cell disease consists of:,(A) a deletion.,(B) a duplication.,(C) an insertion.,(D) a point mutation.,D,-3.060688018798828,-7.093087196350098,-5.743690013885498,-2.560797929763794,D,True
Which of the following is an example of monosomy?,"(A) 46,XX","(B) 47,XXX","(C) 69,XYY","(D) 45,X",D,-4.4027605056762695,-7.386562824249268,-7.496554374694824,-2.702784299850464,D,True
QTL analysis is used to,(A) identify chromosome regions associated with a complex trait in a genetic cross,(B) determine which genes are expressed at a developmental stage,(C) map genes in bacterial viruses,(D) identify RNA polymerase binding sites,A,-2.185797929763794,-8.00186538696289,-7.541229724884033,-9.087087631225586,A,True
What would be the frequency of AABBCC individuals from a mating of two AaBbCc individuals?,(A) 1.0/64,(B) 1.0/32,(C) 1.0/128,(D) 1.0/256,A,-4.180353164672852,-5.796465873718262,-5.367853164672852,-4.187012195587158,A,True
It is currently estimated that there are ______ human protein-coding genes although this estimate may be reduced over time.,"(A) 10,000–15,000","(B) 19,000–20,000","(C) 29,000–30,000","(D) 100,000",B,-4.338003158569336,-5.275503158569336,-4.833040237426758,-4.217293739318848,D,False
With which of the following relatives is an individual most likely to share a common HLA haplotype?,(A) Father,(B) Mother,(C) Sister,(D) Son,C,-3.9038503170013428,-5.080845832824707,-4.026176929473877,-4.652296543121338,A,False
Which of the following genes conveys susceptibility for polygenic Alzheimer disease?,(A) APP,(B) PS1,(C) PS2,(D) APOE,D,-3.028695821762085,-6.869357585906982,-5.463003158569336,-3.155517578125,A,False
The DiGeorge/Shprintzen syndrome is caused by a deletion in which chromosome?,(A) 4,(B) 7,(C) 15,(D) 22,D,-5.420440196990967,-6.661199569702148,-4.9315714836120605,-4.435797691345215,D,True
X-chromosome inactivation,(A) results in genetically turning off one of the two X chromosomes in female mammals,(B) takes place in humans so that the same X chromosome is inactive in all of the cells of a female,(C) is the cause of the Y chromosome being genetically inactive,(D) occurs in fruit flies but not in mammals,A,-1.955861210823059,-4.55780553817749,-5.4546966552734375,-5.004126071929932,A,True
The pattern of inheritance shown by glucose-6-phosphate dehydrogenase (G6PD) deficiency is:,(A) autosomal dominant.,(B) autosomal recessive.,(C) X-linked dominant.,(D) X-linked recessive.,D,-4.397363185882568,-4.963676929473877,-4.528356075286865,-2.530857801437378,D,True
Homeobox sequences,(A) are present in the genome of many animal species,(B) are found in prokaryotes but not in eukaryotes,(C) were identified as the integration sites for bacterial viruses,(D) represent integration sites for transposable elements,A,-2.107403516769409,-4.600106716156006,-4.604458332061768,-2.9959216117858887,A,True
Which of the following karyotypes is diagnostic of Down syndrome,"(A) 46,XX,der(14;21)(q10;q10)pat+21","(B) 47,XY,+13","(C) 45,XX,rob,(14;21)(q10;q10)","(D) 46,XY,t(2;3)(q21;q12)",A,-1.5993602275848389,-5.504126071929932,-3.9001338481903076,-5.140705108642578,A,True
"Nature is more important for ______ differences, while nurture has greater influence on ______ differences.",(A) structural and anatomical; psychological and social,(B) psychological and social; structural and anatomical,(C) structural and psychological; anatomical and social,(D) social and anatomical; psychological and structural,A,-3.7644362449645996,-4.342293739318848,-7.2666401863098145,-6.403995513916016,A,True
Which of the following would result in Angelman syndrome?,(A) Maternal UPD 15,(B) Paternal UPD 15,(C) Deletion in the paternally derived chromosome 15,(D) A mutation in the SNRPN promoter,B,-3.6048262119293213,-7.402276039123535,-5.548336505889893,-3.169976234436035,D,False
Recombinant alpha-iduronidase is used for the treatment of which disease/syndrome?,(A) Fabry disease,(B) Gaucher disease,(C) Hurler syndrome,(D) Pompe disease,C,-4.769853591918945,-7.396671772003174,-2.9682769775390625,-4.339542388916016,C,True
Research from Moshe Szyf and colleagues has provided significant findings on the epigenetic influences of prenatal maternal stress. This work has been labelled ______.,(A) developmental epigenetics,(B) social epigenetics,(C) fetal epigenetics,(D) maternal epigenetics,B,-4.456623077392578,-4.403356075286865,-4.963003158569336,-4.771792888641357,B,True
If both parents are affected with the same autosomal recessive disorder then the probability that each of their children will be affected equals ___.,(A) 1 in 4,(B) 1 in 2,(C) 2 in 3,(D) 1,D,-4.11324405670166,-4.863952159881592,-4.5565714836120605,-3.980602502822876,D,True
The mutational mechanism in δβ-thalassaemia consists of:,(A) a deletion.,(B) a duplication.,(C) an insertion.,(D) a point mutation.,A,-3.1938138008117676,-4.42574405670166,-4.614618301391602,-2.6382625102996826,D,False
"Assuming Hardy-Weinberg equilibrium, the genoypte frequency of heterozygotes, if the frequency of the two alleles at the gene being studied are 0.6 and 0.4, will be:",(A) 0.8,(B) 0.64,(C) 0.48,(D) 0.32,C,-4.9295244216918945,-4.525503158569336,-3.857476234436035,-3.9822237491607666,C,True
Familial hypercholesterolaemia is caused by mutations in the gene which encodes what?,(A) High density lipoprotein,(B) HMG-CoA reductase,(C) Low density lipoprotein,(D) Low density lipoprotein receptor,D,-5.612490653991699,-7.1538543701171875,-6.115832328796387,-2.515514373779297,D,True
A cross between two true breeding lines one with dark blue flowers and one with bright white flowers produces F1 offspring that are light blue. When the F1 progeny are selfed a 1:2:1 ratio of dark blue to light blue to white flowers is observed. What genetic phenomenon is consistent with these results?,(A) epistasis,(B) incomplete dominance,(C) codominance,(D) inbreeding depression,B,-4.714271545410156,-2.8417601585388184,-5.965035915374756,-7.1501336097717285,B,True
The proportion of babies that have an abnormality identifiable at birth is _____.,(A) 1 in 10,(B) 1 in 40,(C) 1 in 100,(D) 1 in 500,B,-4.026176929473877,-5.714796543121338,-4.279260158538818,-4.466495513916016,A,False
______ explained genetic disorders such as alkaptonuria and albinism.,(A) Recessive inheritance has,(B) Dominant genes have,(C) X chromosomes,(D) Y chromosomes,A,-2.559695243835449,-6.052118301391602,-6.076412677764893,-5.552743911743164,A,True
Which of the following conditions shows anticipation in paternal transmission?,(A) Huntington disease,(B) Marfan syndrome,(C) Cystic fibrosis,(D) Fragile X syndrome,A,-3.435900926589966,-6.871554374694824,-4.621617794036865,-2.8735885620117188,D,False
A homeotic mutation is one which,(A) is present in only one form in an individual,(B) substitutes one body part for another in development,(C) results in development of a tumor,(D) is wild type at one temperature and abnormal at another,B,-2.562164545059204,-2.312164545059204,-5.747195243835449,-5.873967170715332,B,True
Which of the following is not a familial cancer syndrome,(A) Familial adenomatous polyposis,(B) Li-Fraumeni syndrome,(C) Von Hippel-Lindau syndrome,(D) Waardenburg syndrome,D,-3.9896180629730225,-5.9038543701171875,-4.493690013885498,-1.951396107673645,D,True
"The epigenetic inheritance system has been described as ______ (Mayr and Provine, 1980).",(A) genotype inheritance,(B) soft inheritance,(C) RNA inheritance,(D) hard inheritance,B,-5.6255693435668945,-3.217100143432617,-6.505748748779297,-7.3383941650390625,B,True
Severe anaemia at birth is a feature of what?,(A) Alpha-thalassaemia,(B) Beta-thalassaemia,(C) Hereditary persistence of fetal haemoglobin,(D) Sickle cell disease,A,-3.9668805599212646,-6.327210903167725,-5.215856075286865,-2.4686625003814697,D,False
"If an X-linked recessive disorder is in Hardy-Weinberg equilibrium and the incidence in males equals 1 in 100, then the expected incidence of affected homozygous females would be _______.",(A) 1 in 1000,(B) 1 in 4000,(C) 1 in 10 000,(D) 1 in 40 000,C,-4.3392229080200195,-5.430784702301025,-4.55787992477417,-4.060571193695068,D,False
Tay-Sachs disease is caused by deficiency of _________________?,(A) Alpha-L-iduronidase,(B) Glucose-6-phosphatase,(C) Hexosaminidase A,(D) Homogentisic acid oxidase,C,-4.902296543121338,-9.48608684539795,-3.671363592147827,-8.659526824951172,C,True
A nonsense mutation involves:,(A) a regulatory sequence.,(B) an AG splice acceptor site.,(C) the creation of a different amino acid.,(D) the creation of a stop codon.,D,-1.9739067554473877,-7.209776401519775,-6.4841227531433105,-2.2138326168060303,A,False
The polymerase chain reaction or PCR is a technique that,(A) was used to demonstrate DNA as the genetic material,(B) is used to determine the content of minerals in a soil sample,(C) uses short DNA primers and a thermostable DNA polymerase to replicate specific DNA sequences in vitro.,(D) measures the ribosome transfer rate during translation,C,-4.990243911743164,-8.265666961669922,-2.873297929763794,-8.464776039123535,C,True
The maternal serum level of alpha-fetoprotein (AFP) is lower than average in which situation?,(A) Down syndrome,(B) Exomphalos,(C) Neural tube defects,(D) Twin pregnancies,A,-4.436173915863037,-5.809322357177734,-5.311173915863037,-3.7027623653411865,D,False
"______ has been described as the phenomenon by which one genotype can give rise to a range of different physiological or morphological states in response to different environmental conditions during development (West-Eberhard, 1989).",(A) Fetal plasticity,(B) The fetal origins hypothesis,(C) Developmental plasticity,(D) Environmental plasticity,C,-6.093360900878906,-8.546110153198242,-3.824233055114746,-9.015666961669922,C,True
Arabidopsis is advantageous for plant genetic research because:,(A) it is commercially important as a food crop,(B) it is an endangered species,(C) it is the closest to humans of any existing plant,(D) it is a small plant with a small genome size which can be raised inexpensively,D,-5.205845832824707,-8.593850135803223,-5.217293739318848,-2.2030274868011475,D,True
The proportion of genes shared by first cousins is on average ___.,(A) 1.0/2,(B) 1.0/4,(C) 1.0/8,(D) 1.0/16,C,-4.270540237426758,-5.586377143859863,-5.078205108642578,-4.714542388916016,A,False
Which of the following is not a tumour suppressor gene?,(A) APC,(B) NF1,(C) RB1,(D) RET,D,-5.022363185882568,-6.836377143859863,-6.1501336097717285,-3.8279049396514893,D,True
Which of the following is a feature of X-linked dominant inheritance?,(A) Parental consanguinity,(B) Male to male transmission,(C) Transmission only by females,(D) Transmitted by males only to females,D,-3.652296781539917,-3.8395423889160156,-4.40536642074585,-3.027535915374756,D,True
"On average, how many fragments would a restriction enzyme which recognizes a specific 4 base sequence in DNA be expected to cleave a double-stranded bacteriophage with a genome size of 5,000 bp into?",(A) about 2,(B) about 4,(C) about 20,(D) about 50,C,-3.88909912109375,-5.336377143859863,-5.277042388916016,-5.09321403503418,A,False
Positional cloning refers to,(A) using a selection procedure to clone a cDNA,(B) cloning a portion of a gene using PCR,(C) isolating a gene by PCR using primers from another species,(D) mapping a gene to a chromosomal region and then identifying and cloning a genomic copy of the gene from the region,D,-4.0431904792785645,-4.5913543701171875,-5.299990653991699,-1.3662830591201782,D,True
Plasmid vectors for cloning,(A) can generally accommodate larger inserts than phage vectors can,"(B) grow within bacteria, and are present in bacterial colonies on an agar plate",(C) can accommodate inserts of over 100 kilobases,(D) include centromeres to allow propagation in yeast,B,-2.247191905975342,-5.007431983947754,-5.327210903167725,-5.335903167724609,A,False
Transcriptional activator proteins,(A) bind regions near a eukaryotic gene and allow an RNA polymerase to transcribe a gene,(B) bind to ribosomes to activate the production of specific proteins,(C) are produced during an infection of bacteria by a phage,(D) are essential to function of transfer RNAs during translation,A,-1.4660996198654175,-5.609416961669922,-5.309054374694824,-5.052046775817871,A,True
"Assuming that the level of glucose is low, a mutation in the repressor associated with the lac operon of E. coli which prevents binding of the repressor to lactose should result in: ",(A) constitutive expression of the lac operon genes,(B) lack of expression or reduced expression of the lac operon genes under all circumstances,(C) expression of the genes only when lactose is present,(D) expression of the genes only when lactose is absent,B,-2.850348949432373,-7.096132755279541,-6.133711814880371,-7.255748748779297,A,False
"In meiosis, recombination occurs in:",(A) Metaphase I.,(B) Prophase I.,(C) Metaphase II.,(D) Prophase II.,B,-5.2447662353515625,-3.748400926589966,-5.248297691345215,-5.869429588317871,B,True
Leber's hereditary optic atrophy is caused by a mutation in:,(A) chromosome 12.,(B) chromosome 18.,(C) chromosome 21.,(D) mitochondrial DNA.,D,-5.010858535766602,-7.413797378540039,-6.887454986572266,-3.256875514984131,D,True
"Regarding exons, which, if any, of the following statements is correct?",(A) Some exons in protein-coding genes consist of noncoding DNA.,(B) The first exon of a protein-coding gene always contains the translational start site.,(C) The last exon of a protein-coding gene always contains the normal termination codon.,(D) A coding exon is always translated in just one of the three possible forward reading frames.,A,-4.123297691345215,-5.240832328796387,-5.496822357177734,-6.554893970489502,A,True
"In humans, each cell normally contains ______ of chromosomes.",(A) 11 pairs,(B) 23 pairs,(C) 32 pairs,(D) 46 pairs,B,-6.883711814880371,-5.213350296020508,-8.916230201721191,-4.655470371246338,D,False
"An increase in the inbreeding coefficient, F, is likely to result in:",(A) reduced likelihood of heterozygotes being present in a population,(B) higher proportion of genes that show linkage,(C) higher proportion of genes with introns,(D) higher level of difference between RNA molecules in two daughter cells,A,-3.105083703994751,-5.64046573638916,-7.586958408355713,-5.790647506713867,A,True
Which of the following findings on prenatal ultrasound examination would not raise suspicion of a chromosome abnormality?,(A) Duodenal atresia,(B) Holoprosencephaly,(C) Hydrops fetalis,(D) Monozygotic twins,D,-2.904600143432617,-6.814901828765869,-3.3432140350341797,-4.213983535766602,A,False
"The likelihood of an individual in a population carrying two specific alleles of a human DNA marker, each of which has a frequency of 0.2, will be:",(A) 0.4,(B) 0.32,(C) 0.08,(D) 0.02,C,-4.652914524078369,-5.632431983947754,-4.830845832824707,-4.331623077392578,D,False
An Hfr strain of E. coli contains:,(A) a vector of yeast or bacterial origin which is used to make many copies of a particular DNA sequence,(B) a bacterial chromosome with a human gene inserted,(C) a bacterial chromosome with the F factor inserted,(D) a human chromosome with a transposable element inserted,C,-3.7312464714050293,-6.759363174438477,-2.4212183952331543,-7.239546775817871,C,True
Male to male transmission is a key feature of which pattern of inheritance?,(A) Autosomal dominant,(B) Autosomal recessive,(C) X-linked dominant,(D) X-linked recessive,A,-5.819775581359863,-7.564612865447998,-5.839271545410156,-2.093381643295288,D,False
Simple tandem repeat polymorphisms in humans are most useful for,(A) solving criminal and paternity cases,(B) reconstructing the relationships of humans and chimps.,(C) estimating relationships of humans and Neanderthals,(D) transferring disease resistance factors into bone marrow cells,A,-2.8581488132476807,-6.329290390014648,-5.30787992477417,-5.243690013885498,A,True
Which of the following disorders is not suitable for population carrier screening?,(A) Cystic fibrosis,(B) Oculocutaneous albinism,(C) Sickle cell disease,(D) Tay-Sachs disease,B,-4.491385459899902,-5.241385459899902,-4.37116813659668,-5.260858535766602,C,False
Which of the following disorders does not show X-linked inheritance?,(A) Duchenne muscular dystrophy,(B) Tay-Sachs disease,(C) Haemophilia A,(D) Haemophilia B,B,-4.560024261474609,-3.234083652496338,-6.398403167724609,-5.296465873718262,B,True
The most common chromosome abnormality in first trimester spontaneous miscarriages is:,(A) trisomy.,(B) monosomy.,(C) triploidy.,(D) tetrasomy.,A,-1.9679200649261475,-3.9048819541931152,-3.841632127761841,-4.460903167724609,A,True
Which of the following karyotypes is not compatible with survival to birth?,"(A) 47,XY,+13","(B) 47,XX,+18","(C) 47,XY,+21","(D) 45,Y",D,-3.775503158569336,-6.757431983947754,-3.967615842819214,-2.9677491188049316,D,True
Male breast cancer is associated with mutations in ___.,(A) BRCA1,(B) BRCA2,(C) NF1,(D) RET,B,-3.347058057785034,-5.698358535766602,-4.991905212402344,-5.179893970489502,A,False
Pseudocholinesterase deficiency is associated with increased sensitivity to what?,(A) Fava beans,(B) Halothane,(C) Primaquine,(D) Succinylcholine,D,-4.337240695953369,-5.427046775817871,-5.883711814880371,-2.3271992206573486,D,True
The most common cystic fibrosis mutation consists of:,(A) a deletion.,(B) a duplication.,(C) a substitution.,(D) an insertion.,A,-2.714796781539917,-5.434054374694824,-3.028695821762085,-3.588676929473877,A,True
The normal human chromosome diploid number is:,(A) 23,(B) 24,(C) 46,(D) 48,C,-5.8690714836120605,-7.923336505889893,-3.7339236736297607,-6.86324405670166,C,True
Advantages of using adenoviruses for gene therapy include:,(A) long term expression.,(B) low risk of insertional mutagenesis.,(C) low immunogenecity.,(D) easy assembly.,B,-3.0949902534484863,-4.302921772003174,-4.177743911743164,-4.924990653991699,A,False
Which of the following statements about Hirschsprung disease is incorrect?,(A) It shows an association with Down syndrome.,(B) It is more common in girls than in boys.,(C) RET is a major susceptibility gene.,(D) Recurrence risks are greater for long segment disease than for short segment disease.,B,-5.805784702301025,-2.3278050422668457,-6.496399879455566,-5.803885459899902,B,True
Which of the following conditions is caused by a trinucleotide (triplet) repeat expansion?,(A) Cystic fibrosis,(B) Duchenne muscular dystrophy,(C) Huntington disease,(D) Osteogenesis imperfecta,C,-4.80787992477417,-6.848699569702148,-2.3590235710144043,-6.790647506713867,C,True
Which of the following causes female pseudohermaphroditism?,(A) Androgen insensitivity,(B) Campomelic dysplasia,(C) Congenital adrenal hyperplasia,(D) Klinefelter syndrome,C,-2.8737542629241943,-6.2163543701171875,-5.43287992477417,-4.68287992477417,A,False
Which component of transcribed RNA in eukaryotes is present in the initial transcript but is removed before translation occurs?,(A) Intron,(B) 3’ Poly A tail,(C) Ribosome binding site,(D) 5’ cap,A,-3.7913906574249268,-6.177046775817871,-6.894123077392578,-5.1527605056762695,A,True
Which of the following is not a recognized complication of cystic fibrosis?,(A) Cancer of the oesophagus,(B) Congenital absence of the vas deferens,(C) Diabetes mellitus,(D) Liver cirrhosis,A,-2.0620694160461426,-3.4370694160461426,-3.5613298416137695,-4.496617794036865,A,True
Which of the following diagnostic techniques is of no value for the diagnosis of neural tube defects?,(A) Amniocentesis,(B) Chorion villus sampling (CVS),(C) Maternal serum screening,(D) Ultrasonography,B,-3.5584216117858887,-7.414254665374756,-3.249244213104248,-6.336958408355713,C,False
Which of the following conditions is a peroxisomal disorder?,(A) Acute intermittent porphyria,(B) Maple syrup urine disease,(C) Medium chain acyl-CoA dehydrogenase deficiency,(D) Zellweger syndrome,D,-3.9968223571777344,-3.7479472160339355,-4.870082378387451,-4.745082378387451,B,False
