Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
1,1,material-dynamics,1,material,1,Chao sees something that is fabric.,Can Chao fold it?,Yes,20.0,0,-3.307879686355591,-4.686744213104248,1.2566599931854467,-1.3409365081013394,-4.564539679541038,-3.3458077050029087,Yes,True,True,True
2,1,material-dynamics,1,material,1,Chao sees something that is fabric.,Can Chao pour it?,No,20.0,0,-12.743284225463867,-0.18922212719917297,-8.178744545922829,3.1565855778037357,-4.564539679541038,-3.3458077050029087,No,True,False,True
3,1,material-dynamics,1,material,2,Chao sees something that is liquid.,Can Chao fold it?,No,20.0,0,-14.741385459899902,-0.10478105396032333,-10.176845780358864,3.2410266510425854,-4.564539679541038,-3.3458077050029087,No,True,False,True
4,1,material-dynamics,1,material,2,Chao sees something that is liquid.,Can Chao pour it?,Yes,20.0,0,-0.8376672267913818,-9.124619483947754,3.7268724527496557,-5.778811778944846,-4.564539679541038,-3.3458077050029087,Yes,True,True,True
5,2,material-dynamics,2,material,1,Chao sees the denim.,Can Chao fold it?,Yes,20.0,0,-1.3232835531234741,-5.468179702758789,3.2412561264175634,-2.1223719977558804,-4.564539679541038,-3.3458077050029087,Yes,True,True,True
6,2,material-dynamics,2,material,1,Chao sees the denim.,Can Chao pour it?,No,20.0,0,-12.056929588317871,-0.12972356379032135,-7.4923899087768335,3.2160841412125873,-4.564539679541038,-3.3458077050029087,No,True,False,True
7,2,material-dynamics,2,material,2,Chao sees the water.,Can Chao fold it?,No,20.0,0,-13.177118301391602,-0.14627648890018463,-8.612578621850563,3.199531216102724,-4.564539679541038,-3.3458077050029087,No,True,False,True
8,2,material-dynamics,2,material,2,Chao sees the water.,Can Chao pour it?,Yes,20.0,0,-1.6357835531234741,-4.1559247970581055,2.9287561264175634,-0.8101170920551968,-4.564539679541038,-3.3458077050029087,Yes,True,True,True
10,3,material-dynamics,3,material,1,Chao sees something that is fabric.,Can Chao stir it?,No,20.0,0,-3.9966177940368652,-0.636334240436554,0.5679218855041723,2.7094734645663547,-4.564539679541038,-3.3458077050029087,No,True,False,True
12,3,material-dynamics,3,material,2,Chao sees something that is liquid.,Can Chao stir it?,Yes,20.0,0,-1.3325814008712769,-6.2807769775390625,3.2319582786697607,-2.934969272536154,-4.564539679541038,-3.3458077050029087,Yes,True,True,True
16,4,material-dynamics,4,material,2,Chao sees the water.,Can Chao stir it?,Yes,20.0,0,-1.0584216117858887,-6.062119960784912,3.506118067755149,-2.7163122557820034,-4.564539679541038,-3.3458077050029087,Yes,True,True,True
20,5,material-dynamics,5,material,2,Chao sees something that is gas.,Can Chao stir it?,Yes,20.0,0,-1.2470145225524902,-1.7497040033340454,3.3175251569885473,1.5961037016688633,-4.564539679541038,-3.3458077050029087,Yes,True,True,True
24,6,material-dynamics,6,material,2,Chao sees the oxygen.,Can Chao stir it?,Yes,20.0,0,-3.7281627655029297,-0.7377989292144775,0.8363769140381079,2.608008775788431,-4.564539679541038,-3.3458077050029087,No,False,False,False
25,7,material-dynamics,7,material,1,Chao sees something that is rigid.,Can it break?,Yes,20.0,0,-2.043935775756836,-1.9215447902679443,2.5206039037842016,1.4242629147349644,-4.564539679541038,-3.3458077050029087,No,False,True,True
26,7,material-dynamics,7,material,1,Chao sees something that is rigid.,Can it ripple?,No,20.0,0,-10.486688613891602,-0.13134455680847168,-5.922148934350564,3.214463148194437,-4.564539679541038,-3.3458077050029087,No,True,False,True
27,7,material-dynamics,7,material,2,Chao sees something that is fabric.,Can it break?,No,20.0,0,-1.8169037103652954,-5.686911582946777,2.747635969175742,-2.3411038779438686,-4.564539679541038,-3.3458077050029087,Yes,False,True,False
28,7,material-dynamics,7,material,2,Chao sees something that is fabric.,Can it ripple?,Yes,20.0,0,-1.3178174495697021,-6.749411582946777,3.2467222299713354,-3.4036038779438686,-4.564539679541038,-3.3458077050029087,Yes,True,True,True
31,8,material-dynamics,8,material,2,Chao sees something that is liquid.,Can it break?,No,20.0,0,-1.7006876468658447,-7.6559247970581055,2.863852032675193,-4.310117092055197,-4.564539679541038,-3.3458077050029087,Yes,False,True,False
32,8,material-dynamics,8,material,2,Chao sees something that is liquid.,Can it ripple?,Yes,20.0,0,-1.4040648937225342,-11.062041282653809,3.1604747858185034,-7.7162335776509,-4.564539679541038,-3.3458077050029087,Yes,True,True,True
33,9,material-dynamics,9,material,1,Chao sees something that is non-rigid.,Can it break?,Yes,20.0,0,-1.240600824356079,-8.249664306640625,3.3239388551849585,-4.903856601637717,-4.564539679541038,-3.3458077050029087,Yes,True,True,True
34,9,material-dynamics,9,material,1,Chao sees something that is non-rigid.,Can it ripple?,No,20.0,0,-1.2321555614471436,-9.374373435974121,3.332384118093894,-6.028565730971213,-4.564539679541038,-3.3458077050029087,Yes,False,True,False
37,10,material-dynamics,10,material,1,Chao sees the feather.,Can it break?,Yes,20.0,0,-2.9288854598999023,-2.5619804859161377,1.6356542196411352,0.783827219086771,-4.564539679541038,-3.3458077050029087,No,False,True,True
38,10,material-dynamics,10,material,1,Chao sees the feather.,Can it ripple?,No,20.0,0,-3.10188627243042,-1.6087955236434937,1.4626534071106176,1.737012181359415,-4.564539679541038,-3.3458077050029087,No,True,False,True
40,10,material-dynamics,10,material,2,Chao sees the denim.,Can it ripple?,Yes,20.0,0,-2.338179588317871,-2.09317946434021,2.2263600912231665,1.2526282406626987,-4.564539679541038,-3.3458077050029087,No,False,True,True
47,12,material-dynamics,12,material,2,Chao sees the water.,Can it break?,No,20.0,0,-4.398403167724609,-0.8981528878211975,0.1661365118164282,2.447654817181711,-4.564539679541038,-3.3458077050029087,No,True,False,True
48,12,material-dynamics,12,material,2,Chao sees the water.,Can it ripple?,Yes,20.0,0,-1.4115674495697021,-8.937095642089844,3.1529722299713354,-5.5912879370869355,-4.564539679541038,-3.3458077050029087,Yes,True,True,True
