task,QID,AnsRefIDs,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the hallway?,Yes,20.0,0,-0.15137162804603577,-2.0925824642181396,0.7757705168798565,-1.26646426031366,-0.9271421449258923,-0.8261182039044798,Yes,True,True,True
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the bathroom?,No,20.0,0,-1.5306744575500488,-0.26919034123420715,-0.6035323126241565,0.5569278626702726,-0.9271421449258923,-0.8261182039044798,No,True,False,True
qa1,6,[1],John travelled to the kitchen.,Is John in the kitchen?,Yes,20.0,3,-0.4938682019710541,-0.9917207956314087,0.4221937682091569,-0.1587951783711712,-0.916061970180211,-0.8329256172602375,Yes,True,True,True
qa1,6,[1],John travelled to the kitchen.,Is John in the hallway?,No,20.0,2,-1.0517483949661255,-0.4562126398086548,-0.12151405749997746,0.37287796708599974,-0.930234337466148,-0.8290906068946545,No,True,False,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the kitchen?,Yes,20.0,4,-0.11998205631971359,-2.3270397186279297,0.8015762851263086,-1.4893111151798317,-0.9215583414460222,-0.8377286034480979,Yes,True,True,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the garden?,No,20.0,4,-2.3992176055908203,-0.11012177169322968,-1.477659264144798,0.7276068317548682,-0.9215583414460222,-0.8377286034480979,No,True,False,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bathroom?,Yes,20.0,0,-0.24041107296943665,-1.6207773685455322,0.6867310719564557,-0.7946591646410525,-0.9271421449258923,-0.8261182039044798,Yes,True,True,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bedroom?,No,20.0,2,-0.9054098725318909,-0.5543912053108215,0.024824464934257162,0.274699401583833,-0.930234337466148,-0.8290906068946545,No,True,False,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the office?,Yes,20.0,1,-0.5054574608802795,-0.984491765499115,0.40073762500348187,-0.14309620629840836,-0.9061950858837614,-0.8413955592007066,Yes,True,True,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the hallway?,No,20.0,1,-0.7108156085014343,-0.7333522439002991,0.19537947738232708,0.10804331530040756,-0.9061950858837614,-0.8413955592007066,Yes,False,True,False
qa1,15,[11],John moved to the bathroom.,Is John in the bathroom?,Yes,20.0,2,-0.1954774558544159,-1.842288613319397,0.7347568816117321,-1.0131980064247426,-0.930234337466148,-0.8290906068946545,Yes,True,True,True
qa1,15,[11],John moved to the bathroom.,Is John in the office?,No,20.0,1,-1.9291391372680664,-0.17439965903759003,-1.022944051384305,0.6669959001631166,-0.9061950858837614,-0.8413955592007066,No,True,False,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the bathroom?,Yes,20.0,0,-0.223067969083786,-1.6994415521621704,0.7040741758421063,-0.8733233482576906,-0.9271421449258923,-0.8261182039044798,Yes,True,True,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the kitchen?,No,20.0,4,-2.139005661010742,-0.13931824266910553,-1.21744731956472,0.6984103607789923,-0.9215583414460222,-0.8377286034480979,No,True,False,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the bathroom?,Yes,20.0,3,-0.2638724148273468,-1.537415623664856,0.6521895553528642,-0.7044900064046185,-0.916061970180211,-0.8329256172602375,Yes,True,True,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the kitchen?,No,20.0,1,-1.7162725925445557,-0.21681879460811615,-0.8100775066607943,0.6245767645925905,-0.9061950858837614,-0.8413955592007066,No,True,False,True
qa1,3,[1],John moved to the bathroom.,Is John in the bathroom?,Yes,20.0,0,-0.1954774558544159,-1.842288613319397,0.7316646890714764,-1.0161704094149173,-0.9271421449258923,-0.8261182039044798,Yes,True,True,True
qa1,3,[1],John moved to the bathroom.,Is John in the garden?,No,20.0,2,-2.2958481311798096,-0.1220821738243103,-1.3656137937136617,0.7070084330703442,-0.930234337466148,-0.8290906068946545,No,True,False,True
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the bedroom?,Yes,20.0,2,-0.14682690799236298,-2.1238067150115967,0.783407429473785,-1.2947161081169423,-0.930234337466148,-0.8290906068946545,Yes,True,True,True
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the hallway?,No,20.0,0,-1.7317678928375244,-0.2103450894355774,-0.8046257479116321,0.6157731144689024,-0.9271421449258923,-0.8261182039044798,No,True,False,True
qa1,9,[7],Mary moved to the hallway.,Is Mary in the hallway?,Yes,20.0,0,-0.11911601573228836,-2.366044521331787,0.808026129193604,-1.5399263174273075,-0.9271421449258923,-0.8261182039044798,Yes,True,True,True
