property,prefix,Context,Question,Correct Answer,negative_sample_type,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,20.0,0,-0.13247448205947876,-2.3904995918273926,0.4745173222923075,-0.9360794916926396,-0.6069918043517862,-1.454420100134753,Yes,True,True,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,20.0,3,-0.4587765038013458,-1.2108391523361206,0.14896887323674968,0.2416270638328224,-0.6077453770380955,-1.452466216168943,Yes,True,False,False
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,20.0,2,-0.7770753502845764,-0.7772449254989624,-0.1737387530527832,0.6834094739740804,-0.6033365972317932,-1.4606543994730428,Yes,False,False,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,20.0,1,-1.7420302629470825,-0.24212968349456787,-1.1328081593355386,1.2089829562143202,-0.6092221036115439,-1.451112639708888,No,True,False,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,20.0,4,-1.7263637781143188,-0.22453641891479492,-1.1244359951627088,1.229859149225411,-0.6019277829516102,-1.4543955681402059,No,True,False,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,20.0,3,-0.429354727268219,-1.6795650720596313,0.1783906497698765,-0.22709885589068834,-0.6077453770380955,-1.452466216168943,Yes,False,True,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,20.0,0,-0.960594117641449,-0.7107292413711548,-0.35360231328966274,0.7436908587635982,-0.6069918043517862,-1.454420100134753,No,False,False,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,20.0,3,-0.37878239154815674,-1.3827537298202515,0.22896298548993876,0.06971248634869154,-0.6077453770380955,-1.452466216168943,Yes,False,True,False
can affect urine,hair,'',Can hair affect urine?,No,random,20.0,0,-0.09648194164037704,-2.8436570167541504,0.5105098627114092,-1.3892369166193974,-0.6069918043517862,-1.454420100134753,Yes,False,True,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,20.0,0,-1.062341570854187,-0.5624417066574097,-0.4553497665024008,0.8919783934773433,-0.6069918043517862,-1.454420100134753,No,True,False,True
