property,prefix,Context,Question,Correct Answer,negative_sample_type,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,20.0,0,-1.0572662353515625,-1.3105714321136475,0.18599174654199957,0.18617572543166938,-1.243257981893562,-1.4967471575453168,Yes,True,False,False
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,20.0,3,-1.329274296760559,-1.5827845335006714,-0.08453182815795857,-0.08589412662244977,-1.2447424686026005,-1.4968904068782216,Yes,True,True,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,20.0,2,-1.1978089809417725,-1.449897289276123,0.04574901830582401,0.05414870906443814,-1.2435579992475965,-1.5040459983405612,Yes,False,False,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,20.0,1,-1.391774296760559,-1.1459810733795166,-0.14550400692082577,0.3573181322287946,-1.2462702898397333,-1.5032992056083112,No,True,False,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,20.0,4,-1.298024296760559,-1.5494942665100098,-0.058065767018568026,-0.04877403538141922,-1.239958529741991,-1.5007202311285905,Yes,False,False,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,20.0,3,-1.190037727355957,-1.4421098232269287,0.054704741246643485,0.0547805836512929,-1.2447424686026005,-1.4968904068782216,Yes,False,False,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,20.0,0,-1.6999752521514893,-1.204274296760559,-0.4567172702579272,0.29247286078475776,-1.243257981893562,-1.4967471575453168,No,False,False,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,20.0,3,-1.0114824771881104,-1.5131103992462158,0.23325999141449016,-0.016219992367994207,-1.2447424686026005,-1.4968904068782216,Yes,False,True,False
can affect urine,hair,'',Can hair affect urine?,No,random,20.0,0,-1.0271716117858887,-1.528774380683899,0.2160863701076734,-0.032027223138582084,-1.243257981893562,-1.4967471575453168,Yes,False,True,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,20.0,0,-1.4244942665100098,-1.1772310733795166,-0.1812362846164477,0.31951608416580024,-1.243257981893562,-1.4967471575453168,No,True,False,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,20.0,1,-1.3228089809417725,-1.3256103992462158,-0.07653869110203915,0.1776888063620954,-1.2462702898397333,-1.5032992056083112,Yes,False,False,True
can bark,an arrow,'',Can an arrow bark?,No,random,20.0,4,-1.2994942665100098,-1.3022310733795166,-0.05953573676801871,0.19848915774907394,-1.239958529741991,-1.5007202311285905,Yes,False,False,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,20.0,0,-0.9674019813537598,-1.7240674495697021,0.2758560005398023,-0.2273202920243853,-1.243257981893562,-1.4967471575453168,Yes,True,True,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,20.0,3,-1.3697662353515625,-1.3730714321136475,-0.12502376674896198,0.12381897476457415,-1.2447424686026005,-1.4968904068782216,Yes,False,False,True
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,20.0,3,-0.9152634143829346,-2.1687464714050293,0.32947905421966595,-0.6718560645268077,-1.2447424686026005,-1.4968904068782216,Yes,True,True,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,20.0,0,-1.034952163696289,-1.5365674495697021,0.208305818197273,-0.039820292024385306,-1.243257981893562,-1.4967471575453168,Yes,False,True,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,20.0,1,-1.2915589809417725,-1.2943603992462158,-0.04528869110203915,0.2089388063620954,-1.2462702898397333,-1.5032992056083112,Yes,False,False,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,20.0,0,-1.2146716117858887,-1.4655722379684448,0.028586370107673398,0.031174919576872018,-1.243257981893562,-1.4967471575453168,Yes,False,False,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,20.0,3,-1.6340134143829346,-1.1381876468658447,-0.38927094578033405,0.3587027600123769,-1.2447424686026005,-1.4968904068782216,No,True,False,True
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,20.0,3,-1.3697662353515625,-1.372524380683899,-0.12502376674896198,0.12436602619432269,-1.2447424686026005,-1.4968904068782216,Yes,False,False,True
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,20.0,2,-1.283787727355957,-1.5365674495697021,-0.04022972810836056,-0.03252145122914096,-1.2435579992475965,-1.5040459983405612,Yes,False,False,True
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,20.0,2,-0.9607811570167542,-1.4584810733795166,0.2827768422308423,0.045564924961044584,-1.2435579992475965,-1.5040459983405612,Yes,False,True,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,20.0,2,-1.3428807258605957,-1.346287727355957,-0.09932272661299923,0.15775827098460415,-1.2435579992475965,-1.5040459983405612,Yes,False,False,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,20.0,3,-1.2369942665100098,-1.4897310733795166,0.00774820209259075,0.007159333498705012,-1.2447424686026005,-1.4968904068782216,Yes,False,True,False
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,20.0,3,-1.221287727355957,-1.4740674495697021,0.023454741246643485,0.022822957308519465,-1.2447424686026005,-1.4968904068782216,Yes,False,True,False
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,20.0,4,-0.9596302509307861,-1.7084810733795166,0.2803282788112049,-0.20776084225092606,-1.239958529741991,-1.5007202311285905,Yes,True,True,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,20.0,1,-1.2057442665100098,-1.7077845335006714,0.04052602332972355,-0.20448532789236018,-1.2462702898397333,-1.5032992056083112,Yes,True,True,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,20.0,0,-1.3072662353515625,-1.310024380683899,-0.06400825345800043,0.18672277686141792,-1.243257981893562,-1.4967471575453168,Yes,False,False,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,20.0,1,-1.283787727355957,-1.5358598232269287,-0.03751743751622372,-0.032560617618617504,-1.2462702898397333,-1.5032992056083112,Yes,True,False,False
can be baked,a bean,'',Can a bean be baked?,Yes,random,20.0,2,-1.1495347023010254,-1.403774380683899,0.09402329694657108,0.10027161765666226,-1.2435579992475965,-1.5040459983405612,Yes,True,False,False
can be baked,broccoli,'',Can broccoli be baked?,No,random,20.0,2,-1.0729721784591675,-1.8249964714050293,0.170585820788429,-0.3209504730644681,-1.2435579992475965,-1.5040459983405612,Yes,False,True,False
can be bald,an owl,'',Can an owl be bald?,No,random,20.0,3,-1.4635162353515625,-1.2168214321136475,-0.21877376674896198,0.28006897476457415,-1.2447424686026005,-1.4968904068782216,No,True,False,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,20.0,4,-1.5696436166763306,-1.324109673500061,-0.3296850869343395,0.1766105576285295,-1.239958529741991,-1.5007202311285905,No,True,False,True
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,20.0,1,-1.313544750213623,-1.5671098232269287,-0.06727446037388973,-0.0638106176186175,-1.2462702898397333,-1.5032992056083112,Yes,True,False,False
can be bent,a leg,'',Can a leg be bent?,Yes,random,20.0,3,-1.0572662353515625,-1.560024380683899,0.18747623325103802,-0.06313397380567731,-1.2447424686026005,-1.4968904068782216,Yes,True,True,True
can be bent,an owl,'',Can an owl be bent?,No,random,20.0,1,-1.2068907022476196,-1.2090238332748413,0.039379587592113685,0.2942753723334699,-1.2462702898397333,-1.5032992056083112,Yes,False,False,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,20.0,2,-1.221287727355957,-1.4733598232269287,0.022270271891639437,0.030686175113632475,-1.2435579992475965,-1.5040459983405612,Yes,True,False,False
can be blonde,hair,'',Can hair be blonde?,Yes,random,20.0,4,-0.8748119473457336,-1.8803174495697021,0.3651465823962574,-0.3795972184411116,-1.239958529741991,-1.5007202311285905,Yes,True,True,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,20.0,4,-1.438544750213623,-1.1928174495697021,-0.198586220471632,0.3079027815588884,-1.239958529741991,-1.5007202311285905,No,True,False,True
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,20.0,3,-0.9596302509307861,-1.466274380683899,0.2851122176718144,0.030616026194322687,-1.2447424686026005,-1.4968904068782216,Yes,True,True,True
can be broken,a sweater,'',Can a sweater be broken?,No,random,20.0,0,-1.1521716117858887,-1.403774380683899,0.0910863701076734,0.09297277686141792,-1.243257981893562,-1.4967471575453168,Yes,False,False,True
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,20.0,1,-1.1197662353515625,-1.6218222379684448,0.12650405448817081,-0.11852303236013362,-1.2462702898397333,-1.5032992056083112,Yes,True,True,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,20.0,0,-1.190037727355957,-1.4421098232269287,0.05322025453760504,0.05463733431838813,-1.243257981893562,-1.4967471575453168,Yes,True,False,False
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,20.0,1,-1.4244942665100098,-1.4272310733795166,-0.17822397667027645,0.0760681322287946,-1.2462702898397333,-1.5032992056083112,Yes,False,False,True
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,20.0,3,-1.2369942665100098,-1.4890345335006714,0.00774820209259075,0.007855873377550227,-1.2447424686026005,-1.4968904068782216,Yes,True,False,False
can be cold,a plow,'',Can a plow be cold?,No,random,20.0,2,-1.158787727355957,-1.4115674495697021,0.08477027189163944,0.09247854877085904,-1.2435579992475965,-1.5040459983405612,Yes,False,False,True
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,20.0,4,-1.1510162353515625,-1.403774380683899,0.08894229439042856,0.09694585044469162,-1.239958529741991,-1.5007202311285905,Yes,True,False,False
can be covered,butter,'',Can butter be covered?,No,random,20.0,2,-1.0572662353515625,-1.5593222379684448,0.18629176389603397,-0.05527623962788364,-1.2435579992475965,-1.5040459983405612,Yes,False,True,False
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,20.0,4,-1.315037727355957,-1.3178174495697021,-0.07507919761396598,0.1829027815588884,-1.239958529741991,-1.5007202311285905,Yes,False,False,True
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,20.0,1,-0.9361519813537598,-1.9421098232269287,0.31011830848597355,-0.4388106176186175,-1.2462702898397333,-1.5032992056083112,Yes,True,True,True
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,20.0,2,-1.2693907022476196,-1.2709810733795166,-0.02583270300002316,0.23306492496104458,-1.2435579992475965,-1.5040459983405612,Yes,False,False,True
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,20.0,3,-1.2614824771881104,-1.2631103992462158,-0.016740008585509836,0.2337800076320058,-1.2447424686026005,-1.4968904068782216,Yes,False,False,True
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,20.0,3,-1.002537727355957,-1.7546098232269287,0.24220474124664348,-0.2577194163487071,-1.2447424686026005,-1.4968904068782216,Yes,True,True,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,20.0,1,-1.1353089809417725,-1.387397289276123,0.11096130889796085,0.11590191633218816,-1.2462702898397333,-1.5032992056083112,Yes,False,False,True
can be curly,hair,'',Can hair be curly?,Yes,random,20.0,4,-0.8123119473457336,-2.0593223571777344,0.4276465823962574,-0.5586021260491438,-1.239958529741991,-1.5007202311285905,Yes,True,True,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,20.0,3,-0.9405031800270081,-1.6921098232269287,0.30423928857559246,-0.1952194163487071,-1.2447424686026005,-1.4968904068782216,Yes,True,True,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,20.0,1,-1.1354721784591675,-1.3881876468658447,0.11079811138056583,0.11511155874246648,-1.2462702898397333,-1.5032992056083112,Yes,False,False,True
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,20.0,4,-0.9596302509307861,-1.7090238332748413,0.2803282788112049,-0.20830360214625077,-1.239958529741991,-1.5007202311285905,Yes,False,True,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,20.0,2,-1.2546098232269287,-1.2558687925338745,-0.011051823979332243,0.24817720580668667,-1.2435579992475965,-1.5040459983405612,Yes,False,False,True
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random,20.0,1,-0.9518582224845886,-1.7068907022476196,0.2944120673551447,-0.20359149663930842,-1.2462702898397333,-1.5032992056083112,Yes,False,True,False
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random,20.0,1,-1.0271716117858887,-1.528774380683899,0.21909867805384464,-0.02547517507558772,-1.2462702898397333,-1.5032992056083112,Yes,True,True,True
can be deflated,flour,'',Can flour be deflated?,No,random,20.0,4,-1.1209216117858887,-1.3730714321136475,0.11903691795610238,0.12764879901494308,-1.239958529741991,-1.5007202311285905,Yes,False,False,True
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random,20.0,3,-0.9373119473457336,-1.6928174495697021,0.3074305212568669,-0.19592704269148054,-1.2447424686026005,-1.4968904068782216,Yes,True,True,True
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random,20.0,2,-0.9256407022476196,-1.6777738332748413,0.31791729699997684,-0.17372783493428012,-1.2435579992475965,-1.5040459983405612,Yes,True,True,True
