property,prefix,Context,Question,Correct Answer,negative_sample_type,yes_logprob,no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-5.902296543121338,-6.404793739318848,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-4.903850555419922,-4.40536642074585,No,False
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-6.217293739318848,-3.4682140350341797,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-7.965669631958008,-4.21786642074585,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-7.621822357177734,-4.374088764190674,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-7.684322357177734,-9.185571670532227,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-6.854458332061768,-4.867393970489502,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-6.277296543121338,-7.029793739318848,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,-5.059322357177734,-8.809322357177734,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-6.246822357177734,-6.749088764190674,Yes,False
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-5.71720027923584,-6.968017578125,Yes,False
can bark,an arrow,'',Can an arrow bark?,No,random,-4.124088764190674,-2.8747966289520264,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-3.9675426483154297,-8.43632984161377,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-6.34220027923584,-8.061588287353516,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-2.998497724533081,-7.249088764190674,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-3.5300426483154297,-7.530517578125,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-3.9207229614257812,-5.437069416046143,Yes,False
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-6.185571193695068,-7.1867899894714355,Yes,False
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-6.868284702301025,-8.37252426147461,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-5.497524261474609,-8.49849796295166,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-5.467293739318848,-8.749088287353516,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-2.7480714321136475,-5.998497486114502,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-6.9947662353515625,-5.746822357177734,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-5.216196060180664,-6.717809677124023,Yes,False
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-5.185571193695068,-7.935997486114502,Yes,False
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-4.997524261474609,-9.998071670532227,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-5.403696060180664,-9.62349796295166,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-5.028696060180664,-7.02970027923584,Yes,False
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-6.589542388916016,-7.8404717445373535,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,-4.028696060180664,-6.780679702758789,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,-2.903695821762085,-7.655679702758789,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,-5.024740695953369,-4.53036642074585,No,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-6.2779717445373535,-6.030309677124023,No,True
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,-4.623071193695068,-7.8738298416137695,Yes,True
can be bent,a leg,'',Can a leg be bent?,Yes,random,-4.2447662353515625,-5.748497486114502,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,-5.809322357177734,-6.061588764190674,Yes,False
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,-5.248497486114502,-9.249290466308594,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,-3.975893497467041,-5.714796543121338,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,-4.2154717445373535,-4.718305587768555,Yes,False
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,-6.839796543121338,-9.371822357177734,Yes,True
can be broken,a sweater,'',Can a sweater be broken?,No,random,-4.8404717445373535,-8.061588287353516,Yes,False
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,-6.839542388916016,-9.06002426147461,Yes,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,-3.6053595542907715,-6.624446868896484,Yes,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,-6.5279717445373535,-6.030517578125,No,True
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,-4.309322357177734,-7.311588764190674,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,-4.280561923980713,-7.03071403503418,Yes,False
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,-4.091196060180664,-6.34254264831543,Yes,True
can be covered,butter,'',Can butter be covered?,No,random,-3.7172937393188477,-6.967749118804932,Yes,False
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,-4.2488298416137695,-5.249569416046143,Yes,False
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,-4.528850555419922,-7.779793739318848,Yes,True
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,-5.6238298416137695,-5.374569416046143,No,True
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,-4.935997486114502,-4.936946868896484,Yes,False
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,-4.340669631958008,-7.841880798339844,Yes,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,-4.341880798339844,-6.34321403503418,Yes,False
can be curly,hair,'',Can hair be curly?,Yes,random,-2.903169870376587,-6.404380798339844,Yes,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,-5.370921611785889,-7.373497486114502,Yes,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,-5.716196060180664,-5.967809677124023,Yes,False
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,-3.713676929473877,-6.466880798339844,Yes,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,-5.372524261474609,-5.8742899894714355,Yes,False
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random,-2.374664545059204,-6.624876499176025,Yes,False
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random,-4.216350555419922,-5.967293739318848,Yes,True
can be deflated,flour,'',Can flour be deflated?,No,random,-5.46754264831543,-8.43632984161377,Yes,False
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random,-6.996822357177734,-11.74592113494873,Yes,True
