Domain,Family,Model,Plain Acc,KFold Acc,Acc % Change,Plain RSTD,KFold RSTD,RSTD % Change
abstract_algebra,Falcon,Falcon3-10B-Base,0.4700,0.4800,+2.13%,0.2022,0.1676,-17.11%
anatomy,Falcon,Falcon3-10B-Base,0.6296,0.6222,-1.18%,0.1005,0.0826,-17.88%
astronomy,Falcon,Falcon3-10B-Base,0.7697,0.7697,+0.00%,0.1032,0.0859,-16.77%
business_ethics,Falcon,Falcon3-10B-Base,0.6200,0.6600,+6.45%,0.1031,0.0712,-30.92%
clinical_knowledge,Falcon,Falcon3-10B-Base,0.7321,0.7283,-0.52%,0.0989,0.0532,-46.22%
college_biology,Falcon,Falcon3-10B-Base,0.8056,0.8125,+0.86%,0.1080,0.1100,+1.82%
college_chemistry,Falcon,Falcon3-10B-Base,0.5000,0.5400,+8.00%,0.0727,0.0260,-64.28%
college_computer_science,Falcon,Falcon3-10B-Base,0.5600,0.5400,-3.57%,0.1452,0.0664,-54.30%
college_mathematics,Falcon,Falcon3-10B-Base,0.4100,0.4100,+0.00%,0.0484,0.0298,-38.50%
college_medicine,Falcon,Falcon3-10B-Base,0.6416,0.6358,-0.90%,0.0495,0.0520,+5.09%
college_physics,Falcon,Falcon3-10B-Base,0.4804,0.4706,-2.04%,0.1859,0.0716,-61.47%
computer_security,Falcon,Falcon3-10B-Base,0.7400,0.7200,-2.70%,0.2119,0.0963,-54.54%
conceptual_physics,Falcon,Falcon3-10B-Base,0.7660,0.7660,+0.00%,0.0655,0.0178,-72.88%
econometrics,Falcon,Falcon3-10B-Base,0.5614,0.5702,+1.56%,0.1895,0.1605,-15.26%
electrical_engineering,Falcon,Falcon3-10B-Base,0.7172,0.7172,+0.00%,0.0961,0.0537,-44.14%
elementary_mathematics,Falcon,Falcon3-10B-Base,0.5952,0.5899,-0.89%,0.1734,0.0793,-54.29%
formal_logic,Falcon,Falcon3-10B-Base,0.5079,0.4921,-3.12%,0.1499,0.1587,+5.89%
global_facts,Falcon,Falcon3-10B-Base,0.4200,0.3900,-7.14%,0.1903,0.1176,-38.20%
high_school_biology,Falcon,Falcon3-10B-Base,0.8161,0.8226,+0.79%,0.0481,0.0321,-33.22%
high_school_chemistry,Falcon,Falcon3-10B-Base,0.6355,0.6158,-3.10%,0.1517,0.1208,-20.32%
high_school_computer_science,Falcon,Falcon3-10B-Base,0.7300,0.7500,+2.74%,0.0710,0.0909,+28.01%
high_school_european_history,Falcon,Falcon3-10B-Base,0.7152,0.7273,+1.69%,0.0941,0.0666,-29.17%
high_school_geography,Falcon,Falcon3-10B-Base,0.7980,0.8081,+1.27%,0.0166,0.0380,+128.89%
high_school_government_and_politics,Falcon,Falcon3-10B-Base,0.7927,0.8342,+5.23%,0.1011,0.0456,-54.88%
high_school_macroeconomics,Falcon,Falcon3-10B-Base,0.7179,0.7179,+0.00%,0.0551,0.0271,-50.78%
high_school_mathematics,Falcon,Falcon3-10B-Base,0.4296,0.4222,-1.72%,0.1712,0.0640,-62.60%
high_school_microeconomics,Falcon,Falcon3-10B-Base,0.8277,0.8361,+1.02%,0.0283,0.0351,+24.16%
high_school_physics,Falcon,Falcon3-10B-Base,0.5430,0.5430,+0.00%,0.0886,0.0281,-68.25%
high_school_psychology,Falcon,Falcon3-10B-Base,0.8330,0.8459,+1.54%,0.0751,0.0562,-25.10%
high_school_statistics,Falcon,Falcon3-10B-Base,0.6620,0.6481,-2.10%,0.0841,0.0663,-21.24%
