Family,Model,Avg Plain Acc,Avg KFold Acc,Acc % Change,Avg Plain RSTD,Avg KFold RSTD,RSTD % Change,Domain Count
Falcon,Falcon3-10B-Base,0.6964,0.7014,+0.73%,0.0774,0.0651,-15.96%,57
Falcon,Falcon3-10B-Instruct,0.7065,0.7118,+0.74%,0.0669,0.0569,-14.91%,57
Falcon,Falcon3-3B-Base,0.5376,0.5486,+2.05%,0.1190,0.0652,-45.24%,57
Falcon,Falcon3-3B-Instruct,0.5578,0.5593,+0.28%,0.0729,0.0607,-16.75%,57
Llama,Llama-2-13b-chat-hf,0.5016,0.5053,+0.73%,0.1548,0.0998,-35.57%,57
Llama,Llama-2-13b-hf,0.5106,0.5041,-1.28%,0.1165,0.0897,-22.95%,57
Llama,Llama-2-7b-chat-hf,0.4482,0.4587,+2.34%,0.1572,0.0736,-53.18%,57
Llama,Llama-2-7b-hf,0.3860,0.4128,+6.94%,0.2016,0.0846,-58.04%,57
MPT,mpt-30b,0.4495,0.4564,+1.55%,0.1505,0.0786,-47.74%,57
MPT,mpt-30b-chat,0.4941,0.4921,-0.41%,0.0957,0.0784,-18.10%,57
MPT,mpt-7b,0.2764,0.3006,+8.75%,0.2118,0.0993,-53.13%,57
MPT,mpt-7b-chat,0.3546,0.3737,+5.37%,0.1722,0.0776,-54.92%,57
Qwen,Qwen1.5-32B,0.7009,0.6970,-0.55%,0.0760,0.0583,-23.28%,57
Qwen,Qwen1.5-32B-Chat,0.7211,0.7218,+0.09%,0.0734,0.0570,-22.32%,57
Qwen,Qwen1.5-7B,0.5911,0.5894,-0.29%,0.1018,0.0682,-33.03%,57
Qwen,Qwen1.5-7B-Chat,0.5896,0.5936,+0.68%,0.1087,0.0741,-31.82%,57
