question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
In a Robertsonian translocation fusion occurs at the:,(A) telomeres.,(B) centromeres.,(C) histones.,(D) ends of the long arms.,B,-2.618490695953369,-2.3663854598999023,-3.4303531646728516,-2.176452159881592,D,False
Zinc finger proteins and helix-turn-helix proteins are,(A) types of DNA-binding proteins,(B) involved in the control of translation,(C) components of ribosomes,(D) part of the hemoglobin in blood cells,A,-1.448432207107544,-2.384216070175171,-2.946716070175171,-3.07063627243042,A,True
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?",(A) 0.01,(B) 0.001,(C) 0.02,(D) 0.0001,A,-2.5125925540924072,-1.6360762119293213,-2.3235762119293213,-2.5732836723327637,B,False
In DNA adenine normally pairs with:,(A) cytosine.,(B) guanine.,(C) thymine.,(D) uracil.,C,-2.886733055114746,-2.3226406574249268,-2.3860762119293213,-3.8188138008117676,B,False
The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,(A) autosomal dominant.,(B) autosomal recessive.,(C) X-linked dominant.,(D) X-linked recessive.,A,-2.306929588317871,-2.5538854598999023,-2.6178531646728516,-2.5521180629730225,A,True
Mapping of human chromosomes:,(A) has been restricted to the sex chromosomes because of small family sizes,(B) proceeded much more successfully as large numbers of DNA markers became available.,(C) has determined that the number of linkage groups is about twice the number of chromosomes,(D) has demonstrated that almost all of the DNA is involved in coding for genes,B,-2.273643970489502,-2.519493818283081,-2.083994150161743,-2.4536800384521484,C,False
Intergenerational transmission to offspring can occur as a result of parental exposures to ______.,(A) war,(B) natural disasters,(C) hunger,(D) all of these,D,-3.1385397911071777,-3.388110399246216,-2.263110399246216,-1.3316303491592407,D,True
Asp235Phe in a molecular report indicates that:,(A) asparagine has been replaced by phenylalanine.,(B) phenylalanine has been replaced by asparagine.,(C) aspartic acid has been replaced by phenylalanine.,(D) phenylalanine has been replaced by aspartic acid.,C,-2.207702159881592,-2.644493818283081,-2.582702159881592,-2.7631001472473145,A,False
The risk of abnormality in the child of a mother with untreated phenylketonuria is:,(A) 1%,(B) 10%,(C) 25%,(D) Almost 100%,D,-3.0283563137054443,-2.8378214836120605,-2.0885162353515625,-2.899940252304077,C,False
Exon skipping is associated with:,(A) nonsense mutations.,(B) regulatory mutations.,(C) RNA processing mutations.,(D) silent mutations.,C,-3.431929588317871,-3.6807847023010254,-1.6807847023010254,-3.7428531646728516,C,True
Which of the following is not a chromosome instability syndrome?,(A) Klinefelter syndrome,(B) Ataxia telangiectasia,(C) Fanconi anaemia,(D) Bloom syndrome,A,-2.044198513031006,-2.5349349975585938,-2.918935775756836,-2.8538906574249268,A,True
Normal adult haemoglobin (Hb A) consists of:,(A) two α (alpha) and two β (beta) chains.,(B) two α and two γ (gamma) chains.,(C) two α and two δ (delta) chains.,(D) four γ chains.,A,-1.8778564929962158,-2.6813838481903076,-3.7428531646728516,-4.305353164672852,A,True
In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,(A) Brother,(B) Nephew,(C) Grandchild,(D) Aunt,A,-1.8946354389190674,-2.7116031646728516,-2.2120347023010254,-2.461143970489502,A,True
The mutation in sickle-cell disease consists of:,(A) a deletion.,(B) a duplication.,(C) an insertion.,(D) a point mutation.,D,-2.7154715061187744,-3.462240695953369,-2.4628214836120605,-2.5226354598999023,C,False
Which of the following is an example of monosomy?,"(A) 46,XX","(B) 47,XXX","(C) 69,XYY","(D) 45,X",D,-2.4790589809417725,-2.1636533737182617,-2.603717088699341,-2.9136533737182617,B,False
QTL analysis is used to,(A) identify chromosome regions associated with a complex trait in a genetic cross,(B) determine which genes are expressed at a developmental stage,(C) map genes in bacterial viruses,(D) identify RNA polymerase binding sites,A,-1.5263326168060303,-2.3991031646728516,-2.0878214836120605,-2.523643970489502,A,True
What would be the frequency of AABBCC individuals from a mating of two AaBbCc individuals?,(A) 1.0/64,(B) 1.0/32,(C) 1.0/128,(D) 1.0/256,A,-1.7856537103652954,-1.9080874919891357,-2.7295336723327637,-3.2285380363464355,A,True
It is currently estimated that there are ______ human protein-coding genes although this estimate may be reduced over time.,"(A) 10,000–15,000","(B) 19,000–20,000","(C) 29,000–30,000","(D) 100,000",B,-2.574233055114746,-2.3847880363464355,-1.8296767473220825,-2.8215134143829346,C,False
With which of the following relatives is an individual most likely to share a common HLA haplotype?,(A) Father,(B) Mother,(C) Sister,(D) Son,C,-2.449897289276123,-2.3228089809417725,-2.511215925216675,-2.947103261947632,B,False
Which of the following genes conveys susceptibility for polygenic Alzheimer disease?,(A) APP,(B) PS1,(C) PS2,(D) APOE,D,-1.9108598232269287,-2.542182207107544,-2.480602502822876,-2.041217088699341,A,False
The DiGeorge/Shprintzen syndrome is caused by a deletion in which chromosome?,(A) 4,(B) 7,(C) 15,(D) 22,D,-2.870659112930298,-2.0575826168060303,-2.183159112930298,-2.7447662353515625,B,False
X-chromosome inactivation,(A) results in genetically turning off one of the two X chromosomes in female mammals,(B) takes place in humans so that the same X chromosome is inactive in all of the cells of a female,(C) is the cause of the Y chromosome being genetically inactive,(D) occurs in fruit flies but not in mammals,A,-1.5979342460632324,-1.9709484577178955,-2.854222059249878,-2.9156627655029297,A,True
The pattern of inheritance shown by glucose-6-phosphate dehydrogenase (G6PD) deficiency is:,(A) autosomal dominant.,(B) autosomal recessive.,(C) X-linked dominant.,(D) X-linked recessive.,D,-2.650679588317871,-2.0851354598999023,-2.5245347023010254,-2.645202159881592,B,False
Homeobox sequences,(A) are present in the genome of many animal species,(B) are found in prokaryotes but not in eukaryotes,(C) were identified as the integration sites for bacterial viruses,(D) represent integration sites for transposable elements,A,-1.8535380363464355,-2.5372695922851562,-2.038905382156372,-2.222058057785034,A,True
Which of the following karyotypes is diagnostic of Down syndrome,"(A) 46,XX,der(14;21)(q10;q10)pat+21","(B) 47,XY,+13","(C) 45,XX,rob,(14;21)(q10;q10)","(D) 46,XY,t(2;3)(q21;q12)",A,-1.7971404790878296,-2.3484976291656494,-2.0359976291656494,-2.658768892288208,A,True
"Nature is more important for ______ differences, while nurture has greater influence on ______ differences.",(A) structural and anatomical; psychological and social,(B) psychological and social; structural and anatomical,(C) structural and psychological; anatomical and social,(D) social and anatomical; psychological and structural,A,-2.9014835357666016,-2.0271716117858887,-2.9014835357666016,-3.399740695953369,B,False
Which of the following would result in Angelman syndrome?,(A) Maternal UPD 15,(B) Paternal UPD 15,(C) Deletion in the paternally derived chromosome 15,(D) A mutation in the SNRPN promoter,B,-2.1225242614746094,-2.495659112930298,-1.9261153936386108,-2.932879686355591,C,False
Recombinant alpha-iduronidase is used for the treatment of which disease/syndrome?,(A) Fabry disease,(B) Gaucher disease,(C) Hurler syndrome,(D) Pompe disease,C,-1.7135162353515625,-2.8378214836120605,-2.9017715454101562,-3.524322271347046,A,False
Research from Moshe Szyf and colleagues has provided significant findings on the epigenetic influences of prenatal maternal stress. This work has been labelled ______.,(A) developmental epigenetics,(B) social epigenetics,(C) fetal epigenetics,(D) maternal epigenetics,B,-2.8086681365966797,-1.5578798055648804,-3.0575826168060303,-2.8065714836120605,B,True
If both parents are affected with the same autosomal recessive disorder then the probability that each of their children will be affected equals ___.,(A) 1 in 4,(B) 1 in 2,(C) 2 in 3,(D) 1,D,-1.9421098232269287,-2.072467088699341,-3.1353089809417725,-3.072467088699341,A,False
The mutational mechanism in δβ-thalassaemia consists of:,(A) a deletion.,(B) a duplication.,(C) an insertion.,(D) a point mutation.,A,-2.4348649978637695,-3.1825826168060303,-2.5586681365966797,-2.181190252304077,D,False
"Assuming Hardy-Weinberg equilibrium, the genoypte frequency of heterozygotes, if the frequency of the two alleles at the gene being studied are 0.6 and 0.4, will be:",(A) 0.8,(B) 0.64,(C) 0.48,(D) 0.32,C,-2.729222059249878,-2.16438627243042,-1.8514052629470825,-2.976405382156372,C,True
Familial hypercholesterolaemia is caused by mutations in the gene which encodes what?,(A) High density lipoprotein,(B) HMG-CoA reductase,(C) Low density lipoprotein,(D) Low density lipoprotein receptor,D,-3.213350534439087,-1.9063969850540161,-2.5245347023010254,-2.832702159881592,B,False
A cross between two true breeding lines one with dark blue flowers and one with bright white flowers produces F1 offspring that are light blue. When the F1 progeny are selfed a 1:2:1 ratio of dark blue to light blue to white flowers is observed. What genetic phenomenon is consistent with these results?,(A) epistasis,(B) incomplete dominance,(C) codominance,(D) inbreeding depression,B,-2.4136533737182617,-1.7173234224319458,-2.0375638008117676,-3.5246822834014893,B,True
The proportion of babies that have an abnormality identifiable at birth is _____.,(A) 1 in 10,(B) 1 in 40,(C) 1 in 100,(D) 1 in 500,B,-2.748297929763794,-2.4963998794555664,-1.5511153936386108,-3.0586681365966797,C,False
______ explained genetic disorders such as alkaptonuria and albinism.,(A) Recessive inheritance has,(B) Dominant genes have,(C) X chromosomes,(D) Y chromosomes,A,-2.4803595542907715,-2.4798262119293213,-2.1688425540924072,-3.162848949432373,C,False
Which of the following conditions shows anticipation in paternal transmission?,(A) Huntington disease,(B) Marfan syndrome,(C) Cystic fibrosis,(D) Fragile X syndrome,A,-2.480602502822876,-2.6668801307678223,-2.1052324771881104,-2.540853261947632,C,False
