question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that,(A) inflation had already impacted the economy before the fiscal stimulus.,(B) the economy initially had some unemployed resources.,(C) aggregate supply decreased.,(D) aggregate demand is steeply sloped.,B,-4.4988298416137695,-1.5048036575317383,-2.8744113445281982,-3.623400926589966,B,True
Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens,(A) II III and IV only,(B) I and III only,(C) II and IV only,(D) III and IV only,D,-4.4354472160339355,-2.056929588317871,-1.9984976053237915,-5.184322357177734,C,False
When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain?,(A) The price level rises but real GDP falls.,(B) Both the price level and real GDP rise.,(C) The price level rises but the change in real GDP is uncertain.,(D) Real GDP rises but the change in the price level is uncertain.,D,-6.717615604400635,-0.6615674495697021,-5.655881404876709,-6.842809677124023,B,False
Tariffs and quotas,(A) result in lower domestic prices.,(B) sometimes raise and sometimes lower the amount of the product sold domestically.,(C) lower the amount of the product sold domestically.,(D) raise the amount of the product sold domestically.,C,-5.46754264831543,-3.2167601585388184,-0.9017388224601746,-4.592464923858643,C,True
A likely cause of falling Treasury bond prices might be,(A) expansionary monetary policy.,(B) contractionary monetary policy.,(C) a depreciating dollar.,(D) fiscal policy designed to reduce the budget deficit.,B,-4.34286642074585,-3.3269362449645996,-1.7730233669281006,-4.530249118804932,C,False
Households demand more money as an asset when,(A) nominal GDP falls.,(B) the nominal interest rate falls.,(C) bond prices fall.,(D) the supply of money falls.,B,-4.46786642074585,-2.5913503170013428,-1.530746579170227,-4.84254264831543,C,False
Allocative efficiency,(A) means that no inferior products will be produced.,(B) implies that the economy's output is distributed evenly.,(C) means that those who work hardest will get more.,(D) implies that resources are used to produce the goods and services society desires in just the right amounts.,D,-7.2182769775390625,-6.217684268951416,-7.343553066253662,-0.5463305711746216,D,True
GDP measures,(A) production within a nation's borders.,(B) production by a nation's citizens wherever they may be.,(C) income earned by the factors of production plus depreciation and indirect business taxes.,(D) (A) and (C),D,-3.9678096771240234,-3.8404715061187744,-4.968103408813477,-0.9622188806533813,D,True
Every choice results in a foregone best alternative which economists call the,(A) accounting cost,(B) switching cost,(C) inferior cost,(D) opportunity cost,D,-4.935797691345215,-3.6663906574249268,-2.1706488132476807,-1.9192806482315063,D,True
When a nation is operating at the natural rate of unemployment,(A) there is no cyclical unemployment.,(B) the inflation rate is zero.,(C) there is no structural unemployment.,(D) the nation is experiencing a recession.,A,-2.7642781734466553,-3.0746893882751465,-3.389904022216797,-2.6386661529541016,D,False
