property,prefix,Context,Question,Correct Answer,negative_sample_type,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,20.0,0,-0.005123257637023926,-5.499996185302734,3.7683235451185153,-3.7561584322069046,-3.7734468027555392,-1.7438377530958298,Yes,True,True,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,20.0,3,-0.020375370979309082,-4.031243801116943,3.7733068393312093,-2.3139946446309168,-3.7936822103105183,-1.7172491564860268,Yes,True,True,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,20.0,2,-8.062429428100586,-0.032949090003967285,-4.281602132290624,1.7696777771147372,-3.7808272958099614,-1.8026268671187045,No,True,False,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,20.0,1,-8.749979019165039,-0.006892204284667969,-4.92698186711518,1.744905514614324,-3.822997152049859,-1.751797718898992,No,True,False,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,20.0,4,-10.249964714050293,-0.0041120052337646484,-6.43951280625245,1.694077240237831,-3.810451907797843,-1.6981892454715957,No,True,False,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,20.0,3,-5.562341690063477,-0.05436909571290016,-1.7686594797529582,1.6628800607731267,-3.7936822103105183,-1.7172491564860268,No,True,False,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,20.0,0,-4.999925136566162,-0.013992072083055973,-1.2264783338106229,1.7298456810127738,-3.7734468027555392,-1.7438377530958298,No,False,False,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,20.0,3,-1.7265355587005615,-0.22751212120056152,2.067146651609957,1.4897370352854653,-3.7936822103105183,-1.7172491564860268,No,True,True,False
can affect urine,hair,'',Can hair affect urine?,No,random,20.0,0,-5.499972343444824,-0.00678861141204834,-1.726525540689285,1.7370491416837814,-3.7734468027555392,-1.7438377530958298,No,True,False,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,20.0,0,-7.031213760375977,-0.04466128349304199,-3.2577669576204373,1.6991764696027878,-3.7734468027555392,-1.7438377530958298,No,True,False,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,20.0,1,-3.562483310699463,-0.057118773460388184,0.260513841350396,1.6946789454386038,-3.822997152049859,-1.751797718898992,No,True,False,True
can bark,an arrow,'',Can an arrow bark?,No,random,20.0,4,-8.999972343444824,-0.0020345449447631836,-5.1895204356469815,1.6961547005268325,-3.810451907797843,-1.6981892454715957,No,True,False,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,20.0,0,-0.0008825064287520945,-8.999983787536621,3.772564296326787,-7.256146034440791,-3.7734468027555392,-1.7438377530958298,Yes,True,True,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,20.0,3,-1.437483310699463,-0.4355367422103882,2.3561988996110554,1.2817124142756386,-3.7936822103105183,-1.7172491564860268,No,True,True,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,20.0,3,-0.0018677712650969625,-8.999983787536621,3.7918144390454214,-7.2827346310505945,-3.7936822103105183,-1.7172491564860268,Yes,True,True,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,20.0,0,-1.0312232971191406,-0.5351400375366211,2.7422235056363986,1.2086977155592087,-3.7734468027555392,-1.7438377530958298,No,True,True,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,20.0,1,-5.749978542327881,-0.006097316741943359,-1.926981390278022,1.7457004021570486,-3.822997152049859,-1.751797718898992,No,True,False,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,20.0,0,-7.999925136566162,-0.006434083450585604,-4.226478333810623,1.7374036696452442,-3.7734468027555392,-1.7438377530958298,No,True,False,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,20.0,3,-4.124964714050293,-0.12497246265411377,-0.33128250373977464,1.592276693831913,-3.7936822103105183,-1.7172491564860268,No,True,False,True
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,20.0,3,-6.499925136566162,-0.00675809383392334,-2.7062429262556438,1.7104910626521035,-3.7936822103105183,-1.7172491564860268,No,True,False,True
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,20.0,2,-5.562454700469971,-0.05491507053375244,-1.7816274046600094,1.747711796584952,-3.7808272958099614,-1.8026268671187045,No,True,False,True
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,20.0,2,-2.6249725818634033,-0.12351846694946289,1.155854713946558,1.6791084001692416,-3.7808272958099614,-1.8026268671187045,No,True,False,True
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,20.0,2,-7.531150817871094,-0.023757221177220345,-3.7503235220611324,1.7788696459414841,-3.7808272958099614,-1.8026268671187045,No,True,False,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,20.0,3,-9.499964714050293,-0.0015485286712646484,-5.706282503739775,1.7157006278147622,-3.7936822103105183,-1.7172491564860268,No,True,False,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,20.0,3,-7.999941825866699,-0.006417632102966309,-4.206259615556181,1.7108315243830605,-3.7936822103105183,-1.7172491564860268,No,True,False,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,20.0,4,-0.005849242210388184,-5.999992370605469,3.804602665587455,-4.301803125133873,-3.810451907797843,-1.6981892454715957,Yes,True,True,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,20.0,1,-0.10641825199127197,-2.609358549118042,3.716578900058587,-0.85756083021905,-3.822997152049859,-1.751797718898992,Yes,True,True,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,20.0,0,-5.031228065490723,-0.01927006244659424,-1.2577812627351834,1.7245676906492355,-3.7734468027555392,-1.7438377530958298,No,True,False,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,20.0,1,-0.12792348861694336,-2.1249938011169434,3.6950736634329155,-0.3731960822179514,-3.822997152049859,-1.751797718898992,Yes,True,True,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,20.0,2,-5.531221866607666,-0.020743846893310547,-1.7503945707977047,1.781883020225394,-3.7808272958099614,-1.8026268671187045,No,False,False,False
can be baked,broccoli,'',Can broccoli be baked?,No,random,20.0,2,-0.1493968963623047,-2.1562328338623047,3.6314303994476567,-0.35360596674360023,-3.7808272958099614,-1.8026268671187045,Yes,False,True,False
can be bald,an owl,'',Can an owl be bald?,No,random,20.0,3,-0.7109271287918091,-0.7109311819076538,3.0827550815187093,1.006317974578373,-3.7936822103105183,-1.7172491564860268,Yes,False,True,False
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,20.0,4,-2.4843480587005615,-0.23045432567596436,1.3261038490972816,1.4677349197956313,-3.810451907797843,-1.6981892454715957,No,True,False,True
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,20.0,1,-2.593677520751953,-0.09517073631286621,1.2293196312979058,1.6566269825861257,-3.822997152049859,-1.751797718898992,No,False,False,False
can be bent,a leg,'',Can a leg be bent?,Yes,random,20.0,3,-0.22362291812896729,-1.7265565395355225,3.570059292181551,-0.009307383049495632,-3.7936822103105183,-1.7172491564860268,Yes,True,True,True
can be bent,an owl,'',Can an owl be bent?,No,random,20.0,1,-1.7578022480010986,-0.25780630111694336,2.0651949040487603,1.4939914177820486,-3.822997152049859,-1.751797718898992,No,True,True,False
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,20.0,2,-0.4980301856994629,-0.9960836172103882,3.2827971101104985,0.8065432499083163,-3.7808272958099614,-1.8026268671187045,Yes,True,True,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,20.0,4,-0.019154667854309082,-4.0312395095825195,3.791297239943534,-2.333050264110924,-3.810451907797843,-1.6981892454715957,Yes,True,True,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,20.0,4,-6.249934196472168,-0.015609979629516602,-2.439482288674325,1.682579265842079,-3.810451907797843,-1.6981892454715957,No,True,False,True
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,20.0,3,-1.7109311819076538,-0.20800399780273438,2.0827510284028645,1.5092451586832925,-3.7936822103105183,-1.7172491564860268,No,False,True,True
can be broken,a sweater,'',Can a sweater be broken?,No,random,20.0,0,-4.999989986419678,-0.007191896438598633,-1.2265431836641385,1.7366458566572311,-3.7734468027555392,-1.7438377530958298,No,True,False,True
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,20.0,1,-0.06100761890411377,-3.0624725818634033,3.761989533145745,-1.3106748629644114,-3.822997152049859,-1.751797718898992,Yes,True,True,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,20.0,0,-1.7265355587005615,-0.22458255290985107,2.0469112440549777,1.5192552001859787,-3.7734468027555392,-1.7438377530958298,No,False,True,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,20.0,1,-3.859354019165039,-0.6093622446060181,-0.03635686711518016,1.1424354742929739,-3.822997152049859,-1.751797718898992,No,True,False,True
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,20.0,3,-0.09520506858825684,-2.593733787536621,3.6984771417222615,-0.8764846310505943,-3.7936822103105183,-1.7172491564860268,Yes,True,True,True
can be cold,a plow,'',Can a plow be cold?,No,random,20.0,2,-4.531221866607666,-0.022325515747070312,-0.7503945707977047,1.7803013513716341,-3.7808272958099614,-1.8026268671187045,No,True,False,True
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,20.0,4,-0.32807886600494385,-1.3280969858169556,3.4823730417928993,0.3700922596546401,-3.810451907797843,-1.6981892454715957,Yes,True,True,True
