property,prefix,Context,Question,Correct Answer,negative_sample_type,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-0.6127989292144775,-0.8630801439285278,-9.994429588317871,-9.059514999389648,9.381630659103394,8.19643485546112,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-0.5581077337265015,-1.0543937683105469,-9.994429588317871,-9.059514999389648,9.43632185459137,8.005121231079102,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-2.1244113445281982,-0.18618839979171753,-9.994429588317871,-9.059514999389648,7.870018243789673,8.873326599597931,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-2.327713966369629,-0.13558198511600494,-9.994429588317871,-9.059514999389648,7.666715621948242,8.923933014273643,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-3.077629327774048,-0.07107057422399521,-9.994429588317871,-9.059514999389648,6.916800260543823,8.988444425165653,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-1.4991437196731567,-0.31204164028167725,-9.994429588317871,-9.059514999389648,8.495285868644714,8.747473359107971,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-1.2250484228134155,-0.41280704736709595,-9.994429588317871,-9.059514999389648,8.769381165504456,8.646707952022552,Yes,True
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-1.44475519657135,-0.3200942575931549,-9.994429588317871,-9.059514999389648,8.549674391746521,8.739420741796494,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,-0.9835319519042969,-0.6090235114097595,-9.994429588317871,-9.059514999389648,9.010897636413574,8.450491487979889,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-1.397663950920105,-0.3335443437099457,-9.994429588317871,-9.059514999389648,8.596765637397766,8.725970655679703,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-1.49176025390625,-0.30250611901283264,-9.994429588317871,-9.059514999389648,8.502669334411621,8.757008880376816,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,-2.671295642852783,-0.11152426898479462,-9.994429588317871,-9.059514999389648,7.323133945465088,8.947990730404854,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-0.24669142067432404,-1.74980890750885,-9.994429588317871,-9.059514999389648,9.747738167643547,7.309706091880798,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-0.5658847093582153,-0.9997833967208862,-9.994429588317871,-9.059514999389648,9.428544878959656,8.059731602668762,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-0.1282772570848465,-2.374642848968506,-9.994429588317871,-9.059514999389648,9.866152331233025,6.684872150421143,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-0.8742442727088928,-0.6245954632759094,-9.994429588317871,-9.059514999389648,9.120185315608978,8.434919536113739,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-1.7415659427642822,-0.24089865386486053,-9.994429588317871,-9.059514999389648,8.252863645553589,8.818616345524788,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-0.764319658279419,-0.7022276520729065,-9.994429588317871,-9.059514999389648,9.230109930038452,8.357287347316742,Yes,False
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-0.6202924847602844,-0.8706077337265015,-9.994429588317871,-9.059514999389648,9.374137103557587,8.188907265663147,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-0.6593486666679382,-0.8473299145698547,-9.994429588317871,-9.059514999389648,9.335080921649933,8.212185084819794,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-0.48344916105270386,-1.1714510917663574,-9.994429588317871,-9.059514999389648,9.510980427265167,7.888063907623291,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-0.9214236736297607,-0.6091867685317993,-9.994429588317871,-9.059514999389648,9.07300591468811,8.45032823085785,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-2.0146992206573486,-0.2015511393547058,-9.994429588317871,-9.059514999389648,7.9797303676605225,8.857963860034943,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-1.6321403980255127,-0.25550025701522827,-9.994429588317871,-9.059514999389648,8.362289190292358,8.80401474237442,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-1.1710830926895142,-0.42342910170555115,-9.994429588317871,-9.059514999389648,8.823346495628357,8.636085897684097,Yes,False
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-0.49951207637786865,-1.124754548072815,-9.994429588317871,-9.059514999389648,9.494917511940002,7.9347604513168335,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-0.936911404132843,-0.5621848702430725,-9.994429588317871,-9.059514999389648,9.057518184185028,8.497330129146576,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-1.100911021232605,-0.4722864031791687,-9.994429588317871,-9.059514999389648,8.893518567085266,8.58722859621048,Yes,False
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-0.7456371784210205,-0.7459149360656738,-9.994429588317871,-9.059514999389648,9.24879240989685,8.313600063323975,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,-0.8080429434776306,-0.6833640336990356,-9.994429588317871,-9.059514999389648,9.18638664484024,8.376150965690613,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,-0.4722101390361786,-1.0936144590377808,-9.994429588317871,-9.059514999389648,9.522219449281693,7.965900540351868,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,-1.1011147499084473,-0.4744729995727539,-9.994429588317871,-9.059514999389648,8.893314838409424,8.585041999816895,Yes,False
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-0.8783847093582153,-0.6286091208457947,-9.994429588317871,-9.059514999389648,9.116044878959656,8.430905878543854,Yes,False
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,-1.3662830591201782,-0.36478039622306824,-9.994429588317871,-9.059514999389648,8.628146529197693,8.69473460316658,No,False
can be bent,a leg,'',Can a leg be bent?,Yes,random,-0.31404778361320496,-1.4372386932373047,-9.994429588317871,-9.059514999389648,9.680381804704666,7.622276306152344,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,-1.36676025390625,-0.36501994729042053,-9.994429588317871,-9.059514999389648,8.627669334411621,8.694495052099228,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,-0.8081077337265015,-0.683425784111023,-9.994429588317871,-9.059514999389648,9.18632185459137,8.376089215278625,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,-0.1441313773393631,-2.5154309272766113,-9.994429588317871,-9.059514999389648,9.850298210978508,6.544084072113037,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,-1.0853350162506104,-0.5231345295906067,-9.994429588317871,-9.059514999389648,8.90909457206726,8.536380469799042,Yes,False
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,-1.0073206424713135,-0.5036599040031433,-9.994429588317871,-9.059514999389648,8.987108945846558,8.555855095386505,Yes,True
can be broken,a sweater,'',Can a sweater be broken?,No,random,-1.0542861223220825,-0.49004510045051575,-9.994429588317871,-9.059514999389648,8.940143465995789,8.569469898939133,Yes,False
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,-0.7915847301483154,-0.7299593687057495,-9.994429588317871,-9.059514999389648,9.202844858169556,8.329555630683899,Yes,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,-0.5660247206687927,-0.9412260055541992,-9.994429588317871,-9.059514999389648,9.428404867649078,8.11828899383545,Yes,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,-0.7181036472320557,-0.8434249758720398,-9.994429588317871,-9.059514999389648,9.276325941085815,8.216090023517609,Yes,False
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,-0.1939982771873474,-1.9998204708099365,-9.994429588317871,-9.059514999389648,9.800431311130524,7.059694528579712,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,-1.2653242349624634,-0.3885301351547241,-9.994429588317871,-9.059514999389648,8.729105353355408,8.670984864234924,Yes,False
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,-0.4369805157184601,-1.1872833967208862,-9.994429588317871,-9.059514999389648,9.557449072599411,7.872231602668762,Yes,True
can be covered,butter,'',Can butter be covered?,No,random,-0.6205074191093445,-0.9333640336990356,-9.994429588317871,-9.059514999389648,9.373922169208527,8.126150965690613,Yes,False
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,-0.7612249851226807,-0.7613999247550964,-9.994429588317871,-9.059514999389648,9.23320460319519,8.298115074634552,Yes,False
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,-0.26904892921447754,-1.6402623653411865,-9.994429588317871,-9.059514999389648,9.725380659103394,7.419252634048462,Yes,True
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,-1.3196403980255127,-0.3804261386394501,-9.994429588317871,-9.059514999389648,8.674789190292358,8.679088860750198,No,True
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,-2.5463945865631104,-0.11599626392126083,-9.994429588317871,-9.059514999389648,7.448035001754761,8.943518735468388,No,True
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,-0.5384692549705505,-0.9762348532676697,-9.994429588317871,-9.059514999389648,9.45596033334732,8.083280146121979,Yes,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,-0.8587183952331543,-0.6090008616447449,-9.994429588317871,-9.059514999389648,9.135711193084717,8.450514137744904,Yes,False
can be curly,hair,'',Can hair be curly?,Yes,random,-0.23687943816184998,-1.9841982126235962,-9.994429588317871,-9.059514999389648,9.757550150156021,7.075316786766052,Yes,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,-0.5423348546028137,-0.9801785349845886,-9.994429588317871,-9.059514999389648,9.452094733715057,8.07933646440506,Yes,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,-1.21817946434021,-0.40598049759864807,-9.994429588317871,-9.059514999389648,8.776250123977661,8.653534501791,Yes,False
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,-0.38814523816108704,-1.39035964012146,-9.994429588317871,-9.059514999389648,9.606284350156784,7.6691553592681885,Yes,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,-1.6089767217636108,-0.29470911622047424,-9.994429588317871,-9.059514999389648,8.38545286655426,8.764805883169174,No,True
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random,-0.48978039622306824,-1.116985559463501,-9.994429588317871,-9.059514999389648,9.504649192094803,7.9425294399261475,Yes,False
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random,-0.3783847391605377,-1.2497694492340088,-9.994429588317871,-9.059514999389648,9.616044849157333,7.80974555015564,Yes,True
can be deflated,flour,'',Can flour be deflated?,No,random,-1.7885223627090454,-0.22828999161720276,-9.994429588317871,-9.059514999389648,8.205907225608826,8.831225007772446,No,True
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random,-0.5622040629386902,-0.9373977184295654,-9.994429588317871,-9.059514999389648,9.432225525379181,8.122117280960083,Yes,True
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random,-0.1714375913143158,-2.109064817428589,-9.994429588317871,-9.059514999389648,9.822991997003555,6.95045018196106,Yes,True
can be driven,a motorcycle,'',Can a motorcycle be driven?,Yes,random,-0.22014907002449036,-1.8434967994689941,-9.994429588317871,-9.059514999389648,9.77428051829338,7.216018199920654,Yes,True
can be driven,satsuma,'',Can satsuma be driven?,No,random,-1.647560954093933,-0.27494892477989197,-9.994429588317871,-9.059514999389648,8.346868634223938,8.784566074609756,No,True
can be eaten cold,a date,'',Can a date be eaten cold?,Yes,random,-0.8587955832481384,-0.6090835928916931,-9.994429588317871,-9.059514999389648,9.135634005069733,8.450431406497955,Yes,True
can be eaten dried,an apricot,'',Can an apricot be eaten dried?,Yes,random,-0.6206077337265015,-0.8708493113517761,-9.994429588317871,-9.059514999389648,9.37382185459137,8.188665688037872,Yes,True
can be eaten raw,tomato,'',Can tomato be eaten raw?,Yes,random,-0.5695970058441162,-0.9449949860572815,-9.994429588317871,-9.059514999389648,9.424832582473755,8.114520013332367,Yes,True
can be eaten raw,a caravan,'',Can a caravan be eaten raw?,No,random,-1.8428096771240234,-0.21824659407138824,-9.994429588317871,-9.059514999389648,8.151619911193848,8.84126840531826,No,True
can be eaten with chips,a deer,'',Can a deer be eaten with chips?,No,random,-1.3663893938064575,-0.36871251463890076,-9.994429588317871,-9.059514999389648,8.628040194511414,8.690802484750748,No,True
can be emptied,a bolt,'',Can a bolt be emptied?,No,random,-0.7728349566459656,-0.7106700539588928,-9.994429588317871,-9.059514999389648,9.221594631671906,8.348844945430756,Yes,False
can be empty,a barrel,'',Can a barrel be empty?,Yes,random,-1.093381643295288,-0.4705287516117096,-9.994429588317871,-9.059514999389648,8.901047945022583,8.588986247777939,Yes,True
can be environmentally friendly,a coach,'',Can a coach be environmentally friendly?,Yes,random,-0.4899757206439972,-1.117079496383667,-9.994429588317871,-9.059514999389648,9.504453867673874,7.9424355030059814,Yes,True
can be environmentally friendly,a trumpet,'',Can a trumpet be environmentally friendly?,No,random,-1.6402842998504639,-0.2674524784088135,-9.994429588317871,-9.059514999389648,8.354145288467407,8.792062520980835,No,True
can be fair,a piano,'',Can a piano be fair?,No,random,-1.413713812828064,-0.35336053371429443,-9.994429588317871,-9.059514999389648,8.580715775489807,8.706154465675354,No,True
can be fastened,a caravan,'',Can a caravan be fastened?,No,random,-0.7298915982246399,-0.7301960587501526,-9.994429588317871,-9.059514999389648,9.264537990093231,8.329318940639496,Yes,False
can be filled,a bathtub,'',Can a bathtub be filled?,Yes,random,-0.4506113827228546,-1.2029049396514893,-9.994429588317871,-9.059514999389648,9.543818205595016,7.856610059738159,Yes,True
can be filled with custard,cucumber,'',Can cucumber be filled with custard?,No,random,-1.5539376735687256,-0.30238085985183716,-9.994429588317871,-9.059514999389648,8.440491914749146,8.757134139537811,No,True
can be filled with helium,a lorry,'',Can a lorry be filled with helium?,No,random,-1.5463305711746216,-0.29274263978004456,-9.994429588317871,-9.059514999389648,8.44809901714325,8.766772359609604,No,True
can be filled with jam,a donut,'',Can a donut be filled with jam?,Yes,random,-0.3511912226676941,-1.4763758182525635,-9.994429588317871,-9.059514999389648,9.643238365650177,7.583139181137085,Yes,True
can be filling,a houseboat,'',Can a houseboat be filling?,No,random,-0.9718734622001648,-0.5972625613212585,-9.994429588317871,-9.059514999389648,9.022556126117706,8.46225243806839,Yes,False
can be fished,a herring,'',Can a herring be fished?,Yes,random,-0.5073784589767456,-1.0701074600219727,-9.994429588317871,-9.059514999389648,9.487051129341125,7.989407539367676,Yes,True
can be flared,a trouser,'',Can a trouser be flared?,Yes,random,-0.8702924847602844,-0.6207380890846252,-9.994429588317871,-9.059514999389648,9.124137103557587,8.438776910305023,Yes,True
can be flavored,a camel,'',Can a camel be flavored?,No,random,-0.7845835089683533,-0.7224174737930298,-9.994429588317871,-9.059514999389648,9.209846079349518,8.337097525596619,Yes,False
can be flavored with lemon,lettuce,'',Can lettuce be flavored with lemon?,No,random,-0.5229966640472412,-1.023264765739441,-9.994429588317871,-9.059514999389648,9.47143292427063,8.036250233650208,Yes,False
can be fluffy,a banjo,'',Can a banjo be fluffy?,No,random,-1.8588635921478271,-0.2341480553150177,-9.994429588317871,-9.059514999389648,8.135565996170044,8.82536694407463,No,True
can be folded,a finger,'',Can a finger be folded?,No,random,-0.9371429085731506,-0.5623313188552856,-9.994429588317871,-9.059514999389648,9.05728667974472,8.497183680534363,Yes,False
can be found at orchestras,a flute,'',Can a flute be found at orchestras?,Yes,random,-0.7960319519042969,-0.6714510917663574,-9.994429588317871,-9.059514999389648,9.198397636413574,8.388063907623291,Yes,True
can be found by the fire,an onion,'',Can an onion be found by the fire?,No,random,-1.0772552490234375,-0.5112549066543579,-9.994429588317871,-9.059514999389648,8.917174339294434,8.54826009273529,Yes,False
can be found in a kitchen drawer,a peeler,'',Can a peeler be found in a kitchen drawer?,Yes,random,-0.22096766531467438,-1.843424916267395,-9.994429588317871,-9.059514999389648,9.773461923003197,7.216090083122253,Yes,True
can be found in bedrooms,a bed,'',Can a bed be found in bedrooms?,Yes,random,-0.11037109047174454,-2.6087582111358643,-9.994429588317871,-9.059514999389648,9.884058497846127,6.450756788253784,Yes,True
can be found in bedrooms,a squirrel,'',Can a squirrel be found in bedrooms?,No,random,-0.7571403980255127,-0.8199744820594788,-9.994429588317871,-9.059514999389648,9.237289190292358,8.23954051733017,Yes,False
can be found in boats or ships,a deckchair,'',Can a deckchair be found in boats or ships?,Yes,random,-0.3840526044368744,-1.7641915082931519,-9.994429588317871,-9.059514999389648,9.610376983880997,7.295323491096497,Yes,True
can be found in boats or ships,a trout,'',Can a trout be found in boats or ships?,No,random,-0.9674240946769714,-0.7179942727088928,-9.994429588317871,-9.059514999389648,9.0270054936409,8.341520726680756,Yes,False
can be found in cars,a clamp,'',Can a clamp be found in cars?,Yes,random,-0.9404321908950806,-0.5659164190292358,-9.994429588317871,-9.059514999389648,9.05399739742279,8.493598580360413,Yes,True
can be found in cars,a soup,'',Can a soup be found in cars?,No,random,-0.9480711817741394,-0.573834240436554,-9.994429588317871,-9.059514999389648,9.046358406543732,8.485680758953094,Yes,False
can be found in cold climate,a pie,'',Can a pie be found in cold climate?,No,random,-0.7338945865631104,-0.7341178059577942,-9.994429588317871,-9.059514999389648,9.26053500175476,8.325397193431854,Yes,False
