property,prefix,Context,Question,Correct Answer,negative_sample_type,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-0.22698119282722473,-10.312383651733398,-11.466354370117188,-12.55506420135498,11.239373177289963,2.242680549621582,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-0.5267574191093445,-9.68735122680664,-11.466354370117188,-12.55506420135498,10.939596951007843,2.86771297454834,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-7.874769687652588,-0.3632199764251709,-11.466354370117188,-12.55506420135498,3.5915846824645996,12.19184422492981,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-5.343512058258057,-0.40619349479675293,-11.466354370117188,-12.55506420135498,6.122842311859131,12.148870706558228,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-8.437331199645996,-0.7030912637710571,-11.466354370117188,-12.55506420135498,3.0290231704711914,11.851972937583923,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-2.077404022216797,-1.9450651407241821,-11.466354370117188,-12.55506420135498,9.38895034790039,10.609999060630798,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-0.6121246218681335,-3.4841012954711914,-11.466354370117188,-12.55506420135498,10.854229748249054,9.070962905883789,Yes,True
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-5.093381404876709,-0.7772799730300903,-11.466354370117188,-12.55506420135498,6.3729729652404785,11.77778422832489,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,-0.7763773202896118,-4.53111457824707,-11.466354370117188,-12.55506420135498,10.689977049827576,8.02394962310791,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-6.218553066253662,-1.4139894247055054,-11.466354370117188,-12.55506420135498,5.247801303863525,11.141074776649475,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-2.5934250354766846,-0.8475567102432251,-11.466354370117188,-12.55506420135498,8.872929334640503,11.707507491111755,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,-9.812283515930176,-0.6405817270278931,-11.466354370117188,-12.55506420135498,1.6540708541870117,11.914482474327087,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-0.38830989599227905,-12.062309265136719,-11.466354370117188,-12.55506420135498,11.078044474124908,0.4927549362182617,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-0.28285640478134155,-9.499820709228516,-11.466354370117188,-12.55506420135498,11.183497965335846,3.055243492126465,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-0.34928232431411743,-12.812368392944336,-11.466354370117188,-12.55506420135498,11.11707204580307,-0.25730419158935547,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-0.3901875913143158,-7.312351226806641,-11.466354370117188,-12.55506420135498,11.076166778802872,5.24271297454834,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-7.343553066253662,-1.15619695186615,-11.466354370117188,-12.55506420135498,4.122801303863525,11.39886724948883,No,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-0.6049593687057495,-3.734245777130127,-11.466354370117188,-12.55506420135498,10.861395001411438,8.820818424224854,Yes,False
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-0.19069351255893707,-4.812368869781494,-11.466354370117188,-12.55506420135498,11.27566085755825,7.742695331573486,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-0.2554261386394501,-6.624925136566162,-11.466354370117188,-12.55506420135498,11.210928231477737,5.930139064788818,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-0.35295727849006653,-8.06235122680664,-11.466354370117188,-12.55506420135498,11.113397091627121,4.49271297454834,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-0.5737249851226807,-2.4530210494995117,-11.466354370117188,-12.55506420135498,10.892629384994507,10.102043151855469,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-7.281026363372803,-0.589783787727356,-11.466354370117188,-12.55506420135498,4.185328006744385,11.965280413627625,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-2.905881643295288,-1.288998007774353,-11.466354370117188,-12.55506420135498,8.5604727268219,11.266066193580627,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-2.171295642852783,-2.0467803478240967,-11.466354370117188,-12.55506420135498,9.295058727264404,10.508283853530884,No,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-0.2534739673137665,-10.687397956848145,-11.466354370117188,-12.55506420135498,11.212880402803421,1.867666244506836,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-0.5269767642021179,-5.781144618988037,-11.466354370117188,-12.55506420135498,10.93937760591507,6.773919582366943,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-3.6090009212493896,-0.8632024526596069,-11.466354370117188,-12.55506420135498,7.857353448867798,11.691861748695374,No,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-0.22694534063339233,-10.374820709228516,-11.466354370117188,-12.55506420135498,11.239409029483795,2.180243492126465,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,-0.26122498512268066,-5.12489128112793,-11.466354370117188,-12.55506420135498,11.205129384994507,7.430172920227051,Yes,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,-0.31402167677879333,-9.999859809875488,-11.466354370117188,-12.55506420135498,11.152332693338394,2.555204391479492,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,-0.7452924847602844,-1.7498313188552856,-11.466354370117188,-12.55506420135498,10.721061885356903,10.805232882499695,No,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-1.2966011762619019,-2.0467610359191895,-11.466354370117188,-12.55506420135498,10.169753193855286,10.508303165435791,No,True
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,-1.514947533607483,-1.3904995918273926,-11.466354370117188,-12.55506420135498,9.951406836509705,11.164564609527588,No,False
can be bent,a leg,'',Can a leg be bent?,Yes,random,-0.28274381160736084,-11.187397956848145,-11.466354370117188,-12.55506420135498,11.183610558509827,1.367666244506836,Yes,True
can be bent,an owl,'',Can an owl be bent?,No,random,-5.656096458435059,-0.714802622795105,-11.466354370117188,-12.55506420135498,5.810257911682129,11.840261578559875,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,-0.14510758221149445,-8.87491512298584,-11.466354370117188,-12.55506420135498,11.321246787905693,3.6801490783691406,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,-0.3157367706298828,-11.937331199645996,-11.466354370117188,-12.55506420135498,11.150617599487305,0.6177330017089844,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,-2.5775270462036133,-1.3279829025268555,-11.466354370117188,-12.55506420135498,8.888827323913574,11.227081298828125,No,True
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,-0.31021207571029663,-2.937368631362915,-11.466354370117188,-12.55506420135498,11.15614229440689,9.617695569992065,Yes,True
can be broken,a sweater,'',Can a sweater be broken?,No,random,-0.1841132491827011,-7.187341690063477,-11.466354370117188,-12.55506420135498,11.282241120934486,5.367722511291504,Yes,False
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,-0.39942610263824463,-3.281075954437256,-11.466354370117188,-12.55506420135498,11.066928267478943,9.273988246917725,Yes,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,-0.5227330923080444,-10.812383651733398,-11.466354370117188,-12.55506420135498,10.943621277809143,1.742680549621582,Yes,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,-0.15102307498455048,-7.030805587768555,-11.466354370117188,-12.55506420135498,11.315331295132637,5.524258613586426,Yes,False
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,-0.43128567934036255,-11.437409400939941,-11.466354370117188,-12.55506420135498,11.035068690776825,1.117654800415039,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,-2.17163348197937,-1.5546259880065918,-11.466354370117188,-12.55506420135498,9.294720888137817,11.000438213348389,No,True
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,-0.4761912226676941,-10.437409400939941,-11.466354370117188,-12.55506420135498,10.990163147449493,2.117654800415039,Yes,True
can be covered,butter,'',Can butter be covered?,No,random,-0.2849175035953522,-6.968706130981445,-11.466354370117188,-12.55506420135498,11.181436866521835,5.586358070373535,Yes,False
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,-0.2532772719860077,-3.874769449234009,-11.466354370117188,-12.55506420135498,11.21307709813118,8.680294752120972,Yes,False
