Type,Digits,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
Arithmetic,1_digit_addition,'',Is 8 plus 3 equal to 17?,No,20.0,0,-4.179405212402344,-4.241905212402344,0.2881285163263483,0.14745643138885534,-4.467533728728692,-4.389361643791199,Yes,False,True,False
Arithmetic,1_digit_addition,'',Is 1 plus 6 equal to 5?,No,20.0,3,-4.337240695953369,-3.463003158569336,0.13508245920141526,0.9368658145268762,-4.472323155154784,-4.399868973096212,No,True,False,True
Arithmetic,1_digit_addition,'',Is 1 plus 8 equal to 4?,No,20.0,4,-4.430353164672852,-3.5565714836120605,0.038834898173808696,0.8391610617438952,-4.46918806284666,-4.395732545355956,No,True,False,True
Arithmetic,1_digit_addition,'',Is 7 plus 0 equal to 6?,No,20.0,0,-4.179893970489502,-3.6169052124023438,0.2876397582391901,0.7724564313888553,-4.467533728728692,-4.389361643791199,No,True,False,True
Arithmetic,1_digit_addition,'',Is 2 plus 4 equal to 4?,No,20.0,1,-3.964796781539917,-3.777535915374756,0.5021029449999332,0.6115640014410015,-4.46689972653985,-4.389099916815757,No,True,False,True
Arithmetic,1_digit_addition,'',Is 5 plus 1 equal to 9?,No,20.0,2,-4.213983535766602,-3.9645423889160156,0.25944529945651684,0.42413303007682135,-4.473428835223118,-4.388675418992837,No,True,False,True
Arithmetic,1_digit_addition,'',Is 4 plus 0 equal to 6?,No,20.0,0,-4.118690013885498,-3.759967088699341,0.348843714843194,0.6293945550918583,-4.467533728728692,-4.389361643791199,No,True,False,True
Arithmetic,1_digit_addition,'',Is 6 plus 6 equal to 70?,No,20.0,3,-4.304893970489502,-3.8678531646728516,0.16742918466528245,0.5320158084233606,-4.472323155154784,-4.399868973096212,No,True,False,True
Arithmetic,1_digit_addition,'',Is 3 plus 8 equal to 77?,No,20.0,0,-4.428332328796387,-3.242393970489502,0.039201399932305314,1.1469676733016971,-4.467533728728692,-4.389361643791199,No,True,False,True
Arithmetic,1_digit_addition,'',Is 8 plus 1 equal to 8?,No,20.0,2,-4.211822032928467,-4.086822032928467,0.2616068022946516,0.3018533860643702,-4.473428835223118,-4.388675418992837,No,True,False,True
